t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786428589.558754,132.196,1980,3201,0.0,0.0,31.0
1786428589.568835,132.196,1980,3201,0.0,0.0,31.0
1786428589.578830,132.196,1980,3201,0.0,0.0,31.0
1786428589.588830,132.196,1980,3201,0.0,0.0,31.0
1786428589.598823,132.196,1980,3201,0.0,0.0,31.0
1786428589.608828,132.196,1980,3201,0.0,0.0,31.0
1786428589.618822,132.196,1980,3201,0.0,0.0,31.0
1786428589.628823,132.855,1980,3201,10.0,3.0,31.0
1786428589.638824,132.855,1980,3201,10.0,3.0,31.0
1786428589.648823,132.855,1980,3201,10.0,3.0,31.0
1786428589.658824,132.855,1980,3201,10.0,3.0,31.0
1786428589.668823,132.855,1980,3201,10.0,3.0,31.0
1786428589.678823,132.855,1980,3201,10.0,3.0,31.0
1786428589.688823,132.855,1980,3201,10.0,3.0,31.0
1786428589.698824,132.855,1980,3201,10.0,3.0,31.0
1786428589.708822,132.855,1980,3201,10.0,3.0,31.0
1786428589.718822,132.855,1980,3201,10.0,3.0,31.0
1786428589.728822,139.197,1980,3201,10.0,3.0,31.0
1786428589.738821,139.197,1980,3201,10.0,3.0,31.0
1786428589.748821,139.197,1980,3201,10.0,3.0,31.0
1786428589.758965,139.197,1980,3201,10.0,3.0,31.0
1786428589.768822,139.197,1980,3201,10.0,3.0,31.0
1786428589.778822,139.197,1980,3201,10.0,3.0,31.0
1786428589.788822,139.197,1980,3201,10.0,3.0,31.0
1786428589.798823,139.197,1980,3201,10.0,3.0,31.0
1786428589.808824,139.197,1980,3201,10.0,3.0,31.0
1786428589.818822,139.197,1980,3201,10.0,3.0,31.0
1786428589.828822,145.400,1980,3201,45.0,16.0,31.0
1786428589.838822,145.400,1980,3201,45.0,16.0,31.0
1786428589.848822,145.400,1980,3201,45.0,16.0,31.0
1786428589.858823,145.400,1980,3201,45.0,16.0,31.0
1786428589.868822,145.400,1980,3201,45.0,16.0,31.0
1786428589.878823,145.400,1980,3201,45.0,16.0,31.0
