t_rel_s,measured_w,predicted_w
0.000,184.72,190.53
0.200,183.56,194.85
0.400,182.53,178.04
0.600,184.17,186.97
0.800,183.58,180.68
1.000,183.11,189.59
1.200,185.21,200.60
1.400,187.98,185.48
1.600,186.55,192.30
1.800,187.72,185.74
2.000,189.53,193.90
2.200,190.57,200.52
2.400,189.54,200.29
2.600,190.26,198.33
2.800,190.40,193.83
3.000,192.17,198.03
3.200,191.85,191.81
3.400,192.00,200.50
3.600,191.21,192.07
3.800,196.12,182.02
4.000,196.80,193.54
4.200,197.65,202.47
4.400,198.46,198.13
4.600,200.02,201.65
4.800,194.94,195.11
5.000,193.49,199.11
5.200,193.25,193.66
5.400,192.32,186.91
5.600,189.98,193.48
5.800,189.98,193.58
6.000,188.78,189.56
6.200,188.07,198.35
6.400,191.81,179.79
6.600,196.88,195.48
6.800,198.12,191.07
7.000,200.17,202.07
7.200,200.65,193.29
7.400,197.10,195.50
7.600,192.32,190.81
7.800,191.03,196.12
8.000,189.54,193.69
8.200,188.71,195.76
8.400,187.61,191.65
8.600,188.31,161.50
8.800,186.69,202.72
9.000,186.63,198.52
9.200,187.63,198.25
9.400,187.27,191.89
9.600,185.15,191.82
9.800,185.82,183.06
10.000,188.04,186.17
10.200,190.43,197.40
10.400,192.11,190.61
10.600,194.44,195.43
10.800,196.97,197.64
11.000,195.98,197.45
11.200,193.92,199.26
11.400,194.15,191.28
11.600,194.13,195.51
11.800,192.86,197.57
12.000,191.19,186.83
12.200,189.10,193.31
12.400,187.48,193.44
12.600,186.21,197.75
12.800,185.46,195.58
13.000,185.50,195.67
13.200,184.71,193.52
13.400,184.63,197.46
13.600,184.46,186.88
13.800,187.51,193.82
14.000,187.66,198.35
14.200,188.48,198.35
14.400,188.93,198.36
14.600,188.98,196.09
14.800,186.20,194.06
15.000,186.97,195.61
15.200,187.28,193.26
15.400,187.72,195.71
15.600,188.34,193.72
15.800,188.89,181.05
16.000,189.47,190.16
16.200,190.66,199.21
16.400,192.87,182.27
16.600,195.62,197.51
16.800,196.34,199.53
17.000,196.49,193.11
17.200,197.02,195.13
17.400,196.34,196.90
17.600,199.92,188.25
17.800,205.60,201.37
18.000,206.42,202.97
18.200,205.65,194.26
18.400,205.58,200.92
18.600,200.97,191.96
18.800,196.33,198.24
19.000,195.86,199.90
19.200,195.79,185.04
19.400,194.71,189.68
19.600,194.76,189.60
19.800,195.25,198.75
20.000,195.29,198.38
20.200,195.93,184.06
20.400,207.16,199.45
20.600,207.11,199.21
20.800,206.43,203.11
21.000,206.00,198.01
21.200,206.06,197.98
21.400,194.69,202.47
21.600,193.92,196.34
21.800,192.59,197.62
22.000,192.09,191.49
22.200,191.72,193.95
22.400,191.74,189.53
22.600,194.00,186.15
22.800,201.64,200.70
23.000,202.14,187.38
23.200,201.99,190.02
23.400,203.21,194.47
23.600,205.40,198.92
23.800,196.96,187.59
24.000,197.22,195.67
24.200,197.71,194.62
24.400,196.95,194.51
24.600,194.15,185.33
24.800,200.39,191.54
25.000,203.94,187.63
25.200,204.71,196.70
25.400,206.07,201.23
25.600,208.30,196.99
25.800,202.22,192.60
26.000,198.06,196.99
26.200,197.71,187.95
26.400,198.29,192.36
26.600,198.46,194.54
26.800,198.31,201.37
27.000,201.92,186.55
27.200,205.23,197.88
27.400,204.64,200.03
27.600,204.31,199.49
27.800,203.86,196.64
28.000,200.72,200.97
28.200,195.77,201.05
28.400,194.29,199.88
28.600,192.43,201.59
28.800,191.06,197.16
29.000,190.31,197.30
29.200,190.26,193.18
29.400,190.08,197.48
29.600,189.21,195.47
29.800,189.15,193.57
30.000,190.73,187.95
30.200,191.55,194.80
30.400,191.47,188.08
30.600,193.19,199.00
30.800,194.86,190.56
31.000,194.30,197.35
31.200,193.72,199.37
31.400,193.83,191.77
31.600,192.49,187.30
31.800,192.20,191.64
32.000,192.33,195.87
32.200,191.85,189.45
32.400,190.70,191.70
32.600,191.19,194.27
32.800,190.26,189.86
33.000,189.90,191.99
33.200,189.65,195.98
33.400,190.22,196.18
33.600,190.49,196.33
33.800,190.54,195.99
34.000,190.29,197.78
34.200,190.25,184.78
34.400,190.05,193.18
34.600,188.34,193.36
34.800,187.06,195.62
35.000,186.22,195.64
35.200,186.23,191.63
35.400,187.16,185.54
35.600,190.45,194.17
35.800,191.46,189.87
36.000,192.02,187.78
36.200,192.47,196.87
36.400,192.51,199.38
36.600,192.23,188.34
36.800,193.58,192.32
37.000,195.01,185.45
37.200,196.61,190.01
37.400,196.78,196.44
37.600,196.62,189.98
37.800,197.68,195.10
38.000,197.15,197.33
38.200,195.11,197.13
38.400,193.97,189.97
38.600,192.55,189.90
38.800,200.20,195.81
39.000,201.58,195.73
39.200,201.88,195.27
39.400,201.75,199.75
39.600,202.08,193.44
39.800,194.09,198.03
40.000,192.21,199.41
40.200,192.02,191.36
40.400,192.55,191.47
40.600,200.21,177.11
40.800,215.84,194.31
41.000,217.39,199.18
41.200,219.91,194.40
41.400,221.32,203.96
41.600,216.06,201.61
41.800,201.96,194.77
42.000,201.57,191.56
42.200,201.80,195.34
42.400,202.93,195.63
42.600,202.49,200.03
42.800,200.84,197.87
43.000,199.45,198.17
43.200,199.90,191.37
43.400,199.67,200.45
43.600,199.63,183.52
