t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1786433304.808903,0.2000,81.1069,5.597886e+11,1.260761e+12,1.259974e+12,5.596250e+11,1.635779e+08,1.259156e+12,8.178893e+08,25,20,20,25.0,1.259156e+12
1786433305.008904,0.2000,81.0310,5.598641e+11,5.608204e+11,5.608204e+11,5.596250e+11,2.390753e+08,5.596250e+11,1.195377e+09,0,20,20,0.0,5.596250e+11
1786433305.208903,0.2000,80.5991,5.599522e+11,5.612608e+11,5.612608e+11,5.596250e+11,3.271557e+08,5.596250e+11,1.635779e+09,0,20,20,0.0,5.596250e+11
1786433305.408904,0.2000,80.1658,5.600277e+11,5.616383e+11,5.616383e+11,5.596250e+11,4.026532e+08,5.596250e+11,2.013266e+09,0,20,20,0.0,5.596250e+11
1786433305.608903,0.2000,79.9420,5.601032e+11,5.620158e+11,5.620158e+11,5.596250e+11,4.781507e+08,5.596250e+11,2.390753e+09,0,20,20,0.0,5.596250e+11
1786433305.808904,0.2000,79.8415,5.601787e+11,5.623933e+11,5.623933e+11,5.596250e+11,5.536481e+08,5.596250e+11,2.768241e+09,0,20,20,0.0,5.596250e+11
1786433306.008904,0.2000,79.6999,5.602667e+11,5.628337e+11,5.628337e+11,5.596250e+11,6.417285e+08,5.596250e+11,3.208643e+09,0,20,20,0.0,5.596250e+11
1786433306.208904,0.2000,80.0102,5.323232e+11,5.350411e+11,5.350411e+11,5.316438e+11,6.794772e+08,5.316438e+11,3.397386e+09,0,19,19,0.0,5.316438e+11
1786433306.408904,0.2000,80.3667,5.604146e+11,5.635729e+11,5.635729e+11,5.596250e+11,7.895777e+08,5.596250e+11,3.947889e+09,0,20,20,0.0,5.596250e+11
1786433306.608904,0.2000,80.6115,5.604901e+11,5.639504e+11,5.639504e+11,5.596250e+11,8.650752e+08,5.596250e+11,4.325376e+09,0,20,20,0.0,5.596250e+11
1786433306.808904,0.2000,80.8069,5.605750e+11,5.643751e+11,5.643751e+11,5.596250e+11,9.500099e+08,5.596250e+11,4.750049e+09,0,20,20,0.0,5.596250e+11
1786433307.008904,0.2000,80.9191,5.606537e+11,5.647683e+11,5.647683e+11,5.596250e+11,1.028653e+09,5.596250e+11,5.143265e+09,0,20,20,0.0,5.596250e+11
1786433307.208904,0.2000,80.8888,5.325246e+11,9.000242e+11,8.998040e+11,5.316438e+11,8.808038e+08,8.954000e+11,4.404019e+09,14,18,19,14.0,8.954000e+11
1786433307.408904,0.2000,80.7012,5.597508e+11,5.602542e+11,5.602542e+11,5.596250e+11,1.258291e+08,5.596250e+11,6.291456e+08,0,20,20,0.0,5.596250e+11
1786433307.608904,0.2000,80.6536,5.598326e+11,5.606631e+11,5.606631e+11,5.596250e+11,2.076180e+08,5.596250e+11,1.038090e+09,0,20,20,0.0,5.596250e+11
1786433307.808904,0.2000,80.6251,5.599081e+11,5.610406e+11,5.610406e+11,5.596250e+11,2.831155e+08,5.596250e+11,1.415578e+09,0,20,20,0.0,5.596250e+11
1786433308.008904,0.2000,80.7787,5.599836e+11,5.614181e+11,5.614181e+11,5.596250e+11,3.586130e+08,5.596250e+11,1.793065e+09,0,20,20,0.0,5.596250e+11
1786433308.208904,0.2000,80.7987,5.600654e+11,5.618270e+11,5.618270e+11,5.596250e+11,4.404019e+08,5.596250e+11,2.202010e+09,0,20,20,0.0,5.596250e+11
