t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786433387.171029,214.109,1980,3201,0.0,0.0,32.0
1786433387.185420,214.109,1980,3201,0.0,0.0,32.0
1786433387.195499,214.109,1980,3201,0.0,0.0,32.0
1786433387.205496,214.109,1980,3201,0.0,0.0,32.0
1786433387.215495,214.109,1980,3201,0.0,0.0,32.0
1786433387.225496,180.150,1980,3201,10.0,8.0,32.0
1786433387.235493,180.150,1980,3201,10.0,8.0,32.0
1786433387.245494,180.150,1980,3201,10.0,8.0,32.0
1786433387.255494,180.150,1980,3201,10.0,8.0,32.0
1786433387.265494,180.150,1980,3201,10.0,8.0,32.0
1786433387.275493,180.150,1980,3201,10.0,8.0,32.0
1786433387.285494,180.150,1980,3201,10.0,8.0,32.0
1786433387.295494,180.150,1980,3201,10.0,8.0,32.0
1786433387.305495,180.150,1980,3201,10.0,8.0,32.0
1786433387.315495,180.150,1980,3201,10.0,8.0,32.0
1786433387.325498,202.259,1980,3201,10.0,8.0,33.0
1786433387.335494,202.259,1980,3201,10.0,8.0,33.0
1786433387.345492,202.259,1980,3201,10.0,8.0,33.0
1786433387.355485,202.259,1980,3201,10.0,8.0,33.0
1786433387.365484,202.259,1980,3201,10.0,8.0,33.0
1786433387.375482,202.259,1980,3201,10.0,8.0,33.0
1786433387.385481,202.259,1980,3201,10.0,8.0,33.0
1786433387.395486,202.259,1980,3201,10.0,8.0,33.0
1786433387.405593,202.259,1980,3201,10.0,8.0,33.0
1786433387.415517,202.259,1980,3201,10.0,8.0,33.0
1786433387.425496,231.320,1980,3201,92.0,72.0,35.0
1786433387.435495,231.320,1980,3201,92.0,72.0,35.0
1786433387.445494,231.320,1980,3201,92.0,72.0,35.0
1786433387.455495,231.320,1980,3201,92.0,72.0,35.0
1786433387.465494,231.320,1980,3201,92.0,72.0,35.0
1786433387.475494,231.320,1980,3201,92.0,72.0,35.0
1786433387.485495,231.320,1980,3201,92.0,72.0,35.0
1786433387.495494,231.320,1980,3201,92.0,72.0,35.0
1786433387.505494,231.320,1980,3201,92.0,72.0,35.0
1786433387.515494,231.320,1980,3201,92.0,72.0,35.0
1786433387.525495,257.287,1980,3201,92.0,72.0,35.0
1786433387.535495,257.287,1980,3201,92.0,72.0,35.0
1786433387.545495,257.287,1980,3201,92.0,72.0,35.0
1786433387.555495,257.287,1980,3201,92.0,72.0,35.0
1786433387.565494,257.287,1980,3201,92.0,72.0,35.0
1786433387.575497,257.287,1980,3201,92.0,72.0,35.0
1786433387.585498,257.287,1980,3201,92.0,72.0,35.0
1786433387.595495,257.287,1980,3201,92.0,72.0,35.0
1786433387.605504,257.287,1980,3201,92.0,72.0,35.0
1786433387.615494,257.287,1980,3201,92.0,72.0,35.0
1786433387.625494,265.952,1980,3201,92.0,72.0,36.0
1786433387.635495,265.952,1980,3201,92.0,72.0,36.0
1786433387.645496,265.952,1980,3201,92.0,72.0,36.0
1786433387.655485,265.952,1980,3201,92.0,72.0,36.0
1786433387.665486,265.952,1980,3201,92.0,72.0,36.0
1786433387.675484,265.952,1980,3201,92.0,72.0,36.0
1786433387.685497,265.952,1980,3201,92.0,72.0,36.0
1786433387.695554,265.952,1980,3201,92.0,72.0,36.0
1786433387.705496,265.952,1980,3201,92.0,72.0,36.0
1786433387.715495,265.952,1980,3201,92.0,72.0,36.0
1786433387.725494,252.319,1980,3201,92.0,72.0,36.0
1786433387.735494,252.319,1980,3201,92.0,72.0,36.0
1786433387.745491,252.319,1980,3201,92.0,72.0,36.0
1786433387.755490,252.319,1980,3201,92.0,72.0,36.0
1786433387.765490,252.319,1980,3201,92.0,72.0,36.0
1786433387.775490,252.319,1980,3201,92.0,72.0,36.0
1786433387.785490,252.319,1980,3201,92.0,72.0,36.0
1786433387.795490,252.319,1980,3201,92.0,72.0,36.0
1786433387.805490,252.319,1980,3201,92.0,72.0,36.0
1786433387.815490,252.319,1980,3201,92.0,72.0,36.0
1786433387.825491,280.635,1980,3201,93.0,73.0,36.0
1786433387.835608,280.635,1980,3201,93.0,73.0,36.0
1786433387.845495,280.635,1980,3201,93.0,73.0,36.0
1786433387.855493,280.635,1980,3201,93.0,73.0,36.0
1786433387.865493,280.635,1980,3201,93.0,73.0,36.0
1786433387.875493,280.635,1980,3201,93.0,73.0,36.0
1786433387.885519,280.635,1980,3201,93.0,73.0,36.0
1786433387.895494,280.635,1980,3201,93.0,73.0,36.0
1786433387.905494,280.635,1980,3201,93.0,73.0,36.0
1786433387.915493,280.635,1980,3201,93.0,73.0,36.0
1786433387.925494,309.448,1980,3201,93.0,73.0,36.0
1786433387.935484,309.448,1980,3201,93.0,73.0,36.0
1786433387.945484,309.448,1980,3201,93.0,73.0,36.0
1786433387.955480,309.448,1980,3201,93.0,73.0,36.0
1786433387.965481,309.448,1980,3201,93.0,73.0,36.0
1786433387.975482,309.448,1980,3201,93.0,73.0,36.0
1786433387.985481,309.448,1980,3201,93.0,73.0,36.0
1786433387.995492,309.448,1980,3201,93.0,73.0,36.0
1786433388.005494,309.448,1980,3201,93.0,73.0,36.0
1786433388.015494,309.448,1980,3201,93.0,73.0,36.0
1786433388.025494,338.458,1980,3201,92.0,72.0,36.0
1786433388.035494,338.458,1980,3201,92.0,72.0,36.0
1786433388.045494,338.458,1980,3201,92.0,72.0,36.0
1786433388.055495,338.458,1980,3201,92.0,72.0,36.0
1786433388.065494,338.458,1980,3201,92.0,72.0,36.0
1786433388.075494,338.458,1980,3201,92.0,72.0,36.0
1786433388.085494,338.458,1980,3201,92.0,72.0,36.0
1786433388.095493,338.458,1980,3201,92.0,72.0,36.0
1786433388.105493,338.458,1980,3201,92.0,72.0,36.0
1786433388.115493,338.458,1980,3201,92.0,72.0,36.0
1786433388.125494,362.063,1980,3201,92.0,72.0,36.0
1786433388.135494,362.063,1980,3201,92.0,72.0,36.0
1786433388.145494,362.063,1980,3201,92.0,72.0,36.0
1786433388.155493,362.063,1980,3201,92.0,72.0,36.0
1786433388.165493,362.063,1980,3201,92.0,72.0,36.0
1786433388.175493,362.063,1980,3201,92.0,72.0,36.0
