t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786440142.880400,220.493,1980,3201,0.0,0.0,33.0
1786440142.890516,220.493,1980,3201,0.0,0.0,33.0
1786440142.900475,220.493,1980,3201,0.0,0.0,33.0
1786440142.910473,220.493,1980,3201,0.0,0.0,33.0
1786440142.920474,220.493,1980,3201,0.0,0.0,33.0
1786440142.930480,220.493,1980,3201,0.0,0.0,33.0
1786440142.940474,220.493,1980,3201,0.0,0.0,33.0
1786440142.950474,232.328,1980,3201,0.0,0.0,36.0
1786440142.960514,232.328,1980,3201,0.0,0.0,36.0
1786440142.970474,232.328,1980,3201,0.0,0.0,36.0
1786440142.980474,232.328,1980,3201,0.0,0.0,36.0
1786440142.990473,232.328,1980,3201,0.0,0.0,36.0
1786440143.000521,232.328,1980,3201,0.0,0.0,36.0
1786440143.010473,232.328,1980,3201,0.0,0.0,36.0
1786440143.020473,232.328,1980,3201,0.0,0.0,36.0
1786440143.030482,232.328,1980,3201,0.0,0.0,36.0
1786440143.040476,232.328,1980,3201,0.0,0.0,36.0
1786440143.050473,232.328,1980,3201,0.0,0.0,36.0
1786440143.060474,261.542,1980,3201,83.0,73.0,36.0
1786440143.070474,261.542,1980,3201,83.0,73.0,36.0
1786440143.080474,261.542,1980,3201,83.0,73.0,36.0
1786440143.090473,261.542,1980,3201,83.0,73.0,36.0
1786440143.100474,261.542,1980,3201,83.0,73.0,36.0
1786440143.110473,261.542,1980,3201,83.0,73.0,36.0
1786440143.120473,261.542,1980,3201,83.0,73.0,36.0
1786440143.130474,261.542,1980,3201,83.0,73.0,36.0
1786440143.140473,261.542,1980,3201,83.0,73.0,36.0
1786440143.150473,261.542,1980,3201,83.0,73.0,36.0
1786440143.160473,292.855,1980,3201,83.0,73.0,36.0
1786440143.170473,292.855,1980,3201,83.0,73.0,36.0
1786440143.180474,292.855,1980,3201,83.0,73.0,36.0
1786440143.190474,292.855,1980,3201,83.0,73.0,36.0
1786440143.200473,292.855,1980,3201,83.0,73.0,36.0
1786440143.210473,292.855,1980,3201,83.0,73.0,36.0
1786440143.220473,292.855,1980,3201,83.0,73.0,36.0
1786440143.230474,292.855,1980,3201,83.0,73.0,36.0
1786440143.240473,292.855,1980,3201,83.0,73.0,36.0
1786440143.250473,292.855,1980,3201,83.0,73.0,36.0
1786440143.260473,310.744,1980,3201,96.0,86.0,37.0
1786440143.270473,310.744,1980,3201,96.0,86.0,37.0
1786440143.280474,310.744,1980,3201,96.0,86.0,37.0
1786440143.290473,310.744,1980,3201,96.0,86.0,37.0
1786440143.300474,310.744,1980,3201,96.0,86.0,37.0
1786440143.310508,310.744,1980,3201,96.0,86.0,37.0
1786440143.320474,310.744,1980,3201,96.0,86.0,37.0
1786440143.330474,310.744,1980,3201,96.0,86.0,37.0
1786440143.340473,310.744,1980,3201,96.0,86.0,37.0
1786440143.350473,310.744,1980,3201,96.0,86.0,37.0
1786440143.360474,295.023,1980,3201,96.0,86.0,37.0
1786440143.370473,295.023,1980,3201,96.0,86.0,37.0
1786440143.380473,295.023,1980,3201,96.0,86.0,37.0
1786440143.390473,295.023,1980,3201,96.0,86.0,37.0
1786440143.400474,295.023,1980,3201,96.0,86.0,37.0
1786440143.410473,295.023,1980,3201,96.0,86.0,37.0
1786440143.420473,295.023,1980,3201,96.0,86.0,37.0
1786440143.430473,295.023,1980,3201,96.0,86.0,37.0
1786440143.440474,295.023,1980,3201,96.0,86.0,37.0
1786440143.450475,295.023,1980,3201,96.0,86.0,37.0
1786440143.460473,288.430,1980,3201,96.0,86.0,37.0
1786440143.470473,288.430,1980,3201,96.0,86.0,37.0
1786440143.480472,288.430,1980,3201,96.0,86.0,37.0
1786440143.490473,288.430,1980,3201,96.0,86.0,37.0
1786440143.500473,288.430,1980,3201,96.0,86.0,37.0
1786440143.510473,288.430,1980,3201,96.0,86.0,37.0
1786440143.520475,288.430,1980,3201,96.0,86.0,37.0
1786440143.530473,288.430,1980,3201,96.0,86.0,37.0
1786440143.540473,288.430,1980,3201,96.0,86.0,37.0
1786440143.550476,288.430,1980,3201,96.0,86.0,37.0
1786440143.560473,316.859,1980,3201,96.0,86.0,37.0
1786440143.570474,316.859,1980,3201,96.0,86.0,37.0
1786440143.580474,316.859,1980,3201,96.0,86.0,37.0
1786440143.590474,316.859,1980,3201,96.0,86.0,37.0
1786440143.600473,316.859,1980,3201,96.0,86.0,37.0
1786440143.610492,316.859,1980,3201,96.0,86.0,37.0
1786440143.620473,316.859,1980,3201,96.0,86.0,37.0
1786440143.630473,316.859,1980,3201,96.0,86.0,37.0
1786440143.640473,316.859,1980,3201,96.0,86.0,37.0
1786440143.650473,316.859,1980,3201,96.0,86.0,37.0
1786440143.660469,353.629,1980,3201,96.0,85.0,37.0
1786440143.670475,353.629,1980,3201,96.0,85.0,37.0
1786440143.680468,353.629,1980,3201,96.0,85.0,37.0
1786440143.690469,353.629,1980,3201,96.0,85.0,37.0
1786440143.700469,353.629,1980,3201,96.0,85.0,37.0
1786440143.710470,353.629,1980,3201,96.0,85.0,37.0
1786440143.720469,353.629,1980,3201,96.0,85.0,37.0
1786440143.730469,353.629,1980,3201,96.0,85.0,37.0
1786440143.740469,353.629,1980,3201,96.0,85.0,37.0
1786440143.750469,353.629,1980,3201,96.0,85.0,37.0
1786440143.760468,387.090,1980,3201,96.0,85.0,37.0
1786440143.770469,387.090,1980,3201,96.0,85.0,37.0
1786440143.780468,387.090,1980,3201,96.0,85.0,37.0
1786440143.790468,387.090,1980,3201,96.0,85.0,37.0
1786440143.800468,387.090,1980,3201,96.0,85.0,37.0
1786440143.810468,387.090,1980,3201,96.0,85.0,37.0
1786440143.820468,387.090,1980,3201,96.0,85.0,37.0
1786440143.830468,387.090,1980,3201,96.0,85.0,37.0
1786440143.840470,387.090,1980,3201,96.0,85.0,37.0
1786440143.850468,387.090,1980,3201,96.0,85.0,37.0
1786440143.860468,420.778,1980,3201,96.0,86.0,37.0
1786440143.870430,420.778,1980,3201,96.0,86.0,37.0
1786440143.880471,420.778,1980,3201,96.0,86.0,37.0
1786440143.890469,420.778,1980,3201,96.0,86.0,37.0
1786440143.900470,420.778,1980,3201,96.0,86.0,37.0
1786440143.910469,420.778,1980,3201,96.0,86.0,37.0
1786440143.920469,420.778,1980,3201,96.0,86.0,37.0
1786440143.930469,420.778,1980,3201,96.0,86.0,37.0
1786440143.940468,420.778,1980,3201,96.0,86.0,37.0
1786440143.950469,420.778,1980,3201,96.0,86.0,37.0
1786440143.960468,441.420,1980,3201,96.0,86.0,37.0
1786440143.970469,441.420,1980,3201,96.0,86.0,37.0
1786440143.980468,441.420,1980,3201,96.0,86.0,37.0
1786440143.990469,441.420,1980,3201,96.0,86.0,37.0
1786440144.000468,441.420,1980,3201,96.0,86.0,37.0
1786440144.010469,441.420,1980,3201,96.0,86.0,37.0
1786440144.020468,441.420,1980,3201,96.0,86.0,37.0
1786440144.030468,441.420,1980,3201,96.0,86.0,37.0
1786440144.040468,441.420,1980,3201,96.0,86.0,37.0
1786440144.050469,441.420,1980,3201,96.0,86.0,37.0
1786440144.060468,444.764,1980,3201,96.0,86.0,38.0
1786440144.070469,444.764,1980,3201,96.0,86.0,38.0
1786440144.080468,444.764,1980,3201,96.0,86.0,38.0
1786440144.090469,444.764,1980,3201,96.0,86.0,38.0
1786440144.100468,444.764,1980,3201,96.0,86.0,38.0
1786440144.110469,444.764,1980,3201,96.0,86.0,38.0
1786440144.120467,444.764,1980,3201,96.0,86.0,38.0
1786440144.130469,444.764,1980,3201,96.0,86.0,38.0
1786440144.140468,444.764,1980,3201,96.0,86.0,38.0
1786440144.150470,444.764,1980,3201,96.0,86.0,38.0
1786440144.160467,446.075,1980,3201,96.0,86.0,38.0
1786440144.170470,446.075,1980,3201,96.0,86.0,38.0
1786440144.180466,446.075,1980,3201,96.0,86.0,38.0
1786440144.190469,446.075,1980,3201,96.0,86.0,38.0
1786440144.200467,446.075,1980,3201,96.0,86.0,38.0
1786440144.210469,446.075,1980,3201,96.0,86.0,38.0
1786440144.220468,446.075,1980,3201,96.0,86.0,38.0
1786440144.230470,446.075,1980,3201,96.0,86.0,38.0
1786440144.240467,446.075,1980,3201,96.0,86.0,38.0
1786440144.250470,446.075,1980,3201,96.0,86.0,38.0
1786440144.260468,447.205,1980,3201,96.0,86.0,38.0
1786440144.270469,447.205,1980,3201,96.0,86.0,38.0
1786440144.280468,447.205,1980,3201,96.0,86.0,38.0
1786440144.290470,447.205,1980,3201,96.0,86.0,38.0
1786440144.300467,447.205,1980,3201,96.0,86.0,38.0
1786440144.310469,447.205,1980,3201,96.0,86.0,38.0
1786440144.320566,447.205,1980,3201,96.0,86.0,38.0
1786440144.330474,447.205,1980,3201,96.0,86.0,38.0
1786440144.340474,447.205,1980,3201,96.0,86.0,38.0
1786440144.350508,447.205,1980,3201,96.0,86.0,38.0
1786440144.360473,447.332,1980,3201,96.0,86.0,38.0
1786440144.370473,447.332,1980,3201,96.0,86.0,38.0
1786440144.380473,447.332,1980,3201,96.0,86.0,38.0
1786440144.390473,447.332,1980,3201,96.0,86.0,38.0
1786440144.400473,447.332,1980,3201,96.0,86.0,38.0
1786440144.410473,447.332,1980,3201,96.0,86.0,38.0
1786440144.420473,447.332,1980,3201,96.0,86.0,38.0
1786440144.430479,447.332,1980,3201,96.0,86.0,38.0
1786440144.440504,447.332,1980,3201,96.0,86.0,38.0
1786440144.450473,447.332,1980,3201,96.0,86.0,38.0
1786440144.460474,448.647,1980,3201,96.0,85.0,38.0
1786440144.470473,448.647,1980,3201,96.0,85.0,38.0
1786440144.480473,448.647,1980,3201,96.0,85.0,38.0
1786440144.490473,448.647,1980,3201,96.0,85.0,38.0
1786440144.500473,448.647,1980,3201,96.0,85.0,38.0
1786440144.510473,448.647,1980,3201,96.0,85.0,38.0
1786440144.520477,448.647,1980,3201,96.0,85.0,38.0
1786440144.530473,448.647,1980,3201,96.0,85.0,38.0
1786440144.540473,448.647,1980,3201,96.0,85.0,38.0
1786440144.550473,448.647,1980,3201,96.0,85.0,38.0
1786440144.560473,449.462,1980,3201,96.0,85.0,38.0
1786440144.570473,449.462,1980,3201,96.0,85.0,38.0
1786440144.580474,449.462,1980,3201,96.0,85.0,38.0
1786440144.590472,449.462,1980,3201,96.0,85.0,38.0
1786440144.600473,449.462,1980,3201,96.0,85.0,38.0
1786440144.610473,449.462,1980,3201,96.0,85.0,38.0
1786440144.620473,449.462,1980,3201,96.0,85.0,38.0
1786440144.630473,449.462,1980,3201,96.0,85.0,38.0
1786440144.640473,449.462,1980,3201,96.0,85.0,38.0
1786440144.650472,449.462,1980,3201,96.0,85.0,38.0
1786440144.660472,450.547,1980,3201,96.0,86.0,38.0
1786440144.670473,450.547,1980,3201,96.0,86.0,38.0
1786440144.680473,450.547,1980,3201,96.0,86.0,38.0
