t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786437832.943504,116.398,1980,3201,0.0,0.0,30.0
1786437832.953580,116.398,1980,3201,0.0,0.0,30.0
1786437832.963577,116.398,1980,3201,0.0,0.0,30.0
1786437832.973576,116.398,1980,3201,0.0,0.0,30.0
1786437832.983576,116.398,1980,3201,0.0,0.0,30.0
1786437832.993576,116.398,1980,3201,0.0,0.0,30.0
1786437833.003578,116.411,1980,3201,0.0,0.0,30.0
1786437833.013577,116.411,1980,3201,0.0,0.0,30.0
1786437833.023576,116.411,1980,3201,0.0,0.0,30.0
1786437833.033576,116.411,1980,3201,0.0,0.0,30.0
1786437833.043572,116.411,1980,3201,0.0,0.0,30.0
1786437833.053576,116.411,1980,3201,0.0,0.0,30.0
1786437833.063577,116.411,1980,3201,0.0,0.0,30.0
1786437833.073576,116.411,1980,3201,0.0,0.0,30.0
1786437833.083579,116.411,1980,3201,0.0,0.0,30.0
1786437833.093577,116.411,1980,3201,0.0,0.0,30.0
1786437833.103591,116.390,1980,3201,0.0,0.0,30.0
1786437833.113576,116.390,1980,3201,0.0,0.0,30.0
1786437833.123576,116.390,1980,3201,0.0,0.0,30.0
1786437833.133576,116.390,1980,3201,0.0,0.0,30.0
1786437833.143572,116.390,1980,3201,0.0,0.0,30.0
1786437833.153576,116.390,1980,3201,0.0,0.0,30.0
1786437833.163576,116.390,1980,3201,0.0,0.0,30.0
1786437833.173575,116.390,1980,3201,0.0,0.0,30.0
1786437833.183594,116.390,1980,3201,0.0,0.0,30.0
1786437833.193578,116.390,1980,3201,0.0,0.0,30.0
1786437833.203578,116.390,1980,3201,0.0,0.0,30.0
1786437833.213588,116.390,1980,3201,0.0,0.0,30.0
1786437833.223575,116.390,1980,3201,0.0,0.0,30.0
1786437833.233575,116.390,1980,3201,0.0,0.0,30.0
1786437833.243572,116.390,1980,3201,0.0,0.0,30.0
1786437833.253577,116.390,1980,3201,0.0,0.0,30.0
1786437833.263586,116.390,1980,3201,0.0,0.0,30.0
1786437833.273576,116.390,1980,3201,0.0,0.0,30.0
1786437833.283627,116.390,1980,3201,0.0,0.0,30.0
1786437833.293577,116.390,1980,3201,0.0,0.0,30.0
1786437833.303577,116.382,1980,3201,0.0,0.0,30.0
1786437833.313576,116.382,1980,3201,0.0,0.0,30.0
1786437833.323575,116.382,1980,3201,0.0,0.0,30.0
1786437833.333578,116.382,1980,3201,0.0,0.0,30.0
1786437833.343572,116.382,1980,3201,0.0,0.0,30.0
1786437833.353576,116.382,1980,3201,0.0,0.0,30.0
1786437833.363599,116.382,1980,3201,0.0,0.0,30.0
1786437833.373589,116.382,1980,3201,0.0,0.0,30.0
1786437833.383576,116.382,1980,3201,0.0,0.0,30.0
1786437833.393576,116.382,1980,3201,0.0,0.0,30.0
1786437833.403585,116.396,1980,3201,0.0,0.0,30.0
1786437833.413575,116.396,1980,3201,0.0,0.0,30.0
1786437833.423575,116.396,1980,3201,0.0,0.0,30.0
1786437833.433575,116.396,1980,3201,0.0,0.0,30.0
1786437833.443572,116.396,1980,3201,0.0,0.0,30.0
1786437833.453575,116.396,1980,3201,0.0,0.0,30.0
1786437833.463576,116.396,1980,3201,0.0,0.0,30.0
1786437833.473577,116.396,1980,3201,0.0,0.0,30.0
1786437833.483576,116.396,1980,3201,0.0,0.0,30.0
1786437833.493574,116.396,1980,3201,0.0,0.0,30.0
1786437833.503576,116.416,1980,3201,0.0,0.0,30.0
1786437833.513577,116.416,1980,3201,0.0,0.0,30.0
