t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786440643.985952,221.935,1980,3201,0.0,0.0,33.0
1786440643.996037,221.935,1980,3201,0.0,0.0,33.0
1786440644.006028,221.935,1980,3201,0.0,0.0,33.0
1786440644.016026,221.935,1980,3201,0.0,0.0,33.0
1786440644.026018,221.935,1980,3201,0.0,0.0,33.0
1786440644.036025,221.935,1980,3201,0.0,0.0,33.0
1786440644.046023,221.935,1980,3201,0.0,0.0,33.0
1786440644.056027,221.935,1980,3201,0.0,0.0,33.0
1786440644.066025,221.935,1980,3201,0.0,0.0,33.0
1786440644.076024,239.902,1980,3201,9.0,8.0,35.0
1786440644.086025,239.902,1980,3201,9.0,8.0,35.0
1786440644.096025,239.902,1980,3201,9.0,8.0,35.0
1786440644.106024,239.902,1980,3201,9.0,8.0,35.0
1786440644.116025,239.902,1980,3201,9.0,8.0,35.0
1786440644.126024,239.902,1980,3201,9.0,8.0,35.0
1786440644.136025,239.902,1980,3201,9.0,8.0,35.0
1786440644.146023,239.902,1980,3201,9.0,8.0,35.0
1786440644.156025,239.902,1980,3201,9.0,8.0,35.0
1786440644.166024,239.902,1980,3201,9.0,8.0,35.0
1786440644.176025,273.045,1980,3201,9.0,8.0,36.0
1786440644.186023,273.045,1980,3201,9.0,8.0,36.0
1786440644.196024,273.045,1980,3201,9.0,8.0,36.0
1786440644.206024,273.045,1980,3201,9.0,8.0,36.0
1786440644.216024,273.045,1980,3201,9.0,8.0,36.0
1786440644.226024,273.045,1980,3201,9.0,8.0,36.0
1786440644.236026,273.045,1980,3201,9.0,8.0,36.0
1786440644.246024,273.045,1980,3201,9.0,8.0,36.0
1786440644.256024,273.045,1980,3201,9.0,8.0,36.0
1786440644.266022,273.045,1980,3201,9.0,8.0,36.0
1786440644.276024,303.369,1980,3201,96.0,85.0,37.0
1786440644.286023,303.369,1980,3201,96.0,85.0,37.0
1786440644.296023,303.369,1980,3201,96.0,85.0,37.0
1786440644.306023,303.369,1980,3201,96.0,85.0,37.0
1786440644.316024,303.369,1980,3201,96.0,85.0,37.0
1786440644.326023,303.369,1980,3201,96.0,85.0,37.0
1786440644.336024,303.369,1980,3201,96.0,85.0,37.0
1786440644.346023,303.369,1980,3201,96.0,85.0,37.0
1786440644.356024,303.369,1980,3201,96.0,85.0,37.0
1786440644.366023,303.369,1980,3201,96.0,85.0,37.0
1786440644.376024,286.833,1980,3201,96.0,85.0,37.0
1786440644.386022,286.833,1980,3201,96.0,85.0,37.0
1786440644.396024,286.833,1980,3201,96.0,85.0,37.0
1786440644.406022,286.833,1980,3201,96.0,85.0,37.0
1786440644.416024,286.833,1980,3201,96.0,85.0,37.0
1786440644.426023,286.833,1980,3201,96.0,85.0,37.0
1786440644.436024,286.833,1980,3201,96.0,85.0,37.0
1786440644.446021,286.833,1980,3201,96.0,85.0,37.0
1786440644.456024,286.833,1980,3201,96.0,85.0,37.0
1786440644.466024,286.833,1980,3201,96.0,85.0,37.0
1786440644.476024,276.592,1980,3201,96.0,86.0,38.0
1786440644.486021,276.592,1980,3201,96.0,86.0,38.0
1786440644.496025,276.592,1980,3201,96.0,86.0,38.0
1786440644.506021,276.592,1980,3201,96.0,86.0,38.0
1786440644.516024,276.592,1980,3201,96.0,86.0,38.0
1786440644.526022,276.592,1980,3201,96.0,86.0,38.0
1786440644.536025,276.592,1980,3201,96.0,86.0,38.0
1786440644.546022,276.592,1980,3201,96.0,86.0,38.0
1786440644.556024,276.592,1980,3201,96.0,86.0,38.0
1786440644.566021,276.592,1980,3201,96.0,86.0,38.0
1786440644.576025,295.106,1980,3201,96.0,86.0,38.0
1786440644.586022,295.106,1980,3201,96.0,86.0,38.0
1786440644.596025,295.106,1980,3201,96.0,86.0,38.0
1786440644.606019,295.106,1980,3201,96.0,86.0,38.0
1786440644.616025,295.106,1980,3201,96.0,86.0,38.0
1786440644.626023,295.106,1980,3201,96.0,86.0,38.0
1786440644.636026,295.106,1980,3201,96.0,86.0,38.0
1786440644.646022,295.106,1980,3201,96.0,86.0,38.0
1786440644.656025,295.106,1980,3201,96.0,86.0,38.0
1786440644.666023,295.106,1980,3201,96.0,86.0,38.0
1786440644.676023,332.116,1980,3201,96.0,86.0,38.0
1786440644.686024,332.116,1980,3201,96.0,86.0,38.0
1786440644.696023,332.116,1980,3201,96.0,86.0,38.0
1786440644.706023,332.116,1980,3201,96.0,86.0,38.0
1786440644.716024,332.116,1980,3201,96.0,86.0,38.0
1786440644.726023,332.116,1980,3201,96.0,86.0,38.0
1786440644.736024,332.116,1980,3201,96.0,86.0,38.0
1786440644.746022,332.116,1980,3201,96.0,86.0,38.0
1786440644.756024,332.116,1980,3201,96.0,86.0,38.0
1786440644.766022,332.116,1980,3201,96.0,86.0,38.0
1786440644.776024,365.825,1980,3201,96.0,86.0,38.0
1786440644.786023,365.825,1980,3201,96.0,86.0,38.0
1786440644.796024,365.825,1980,3201,96.0,86.0,38.0
1786440644.806022,365.825,1980,3201,96.0,86.0,38.0
1786440644.816025,365.825,1980,3201,96.0,86.0,38.0
1786440644.826022,365.825,1980,3201,96.0,86.0,38.0
1786440644.836024,365.825,1980,3201,96.0,86.0,38.0
1786440644.846023,365.825,1980,3201,96.0,86.0,38.0
1786440644.856025,365.825,1980,3201,96.0,86.0,38.0
1786440644.866022,365.825,1980,3201,96.0,86.0,38.0
1786440644.876024,394.406,1980,3201,96.0,86.0,38.0
1786440644.886023,394.406,1980,3201,96.0,86.0,38.0
1786440644.896025,394.406,1980,3201,96.0,86.0,38.0
1786440644.906022,394.406,1980,3201,96.0,86.0,38.0
1786440644.916024,394.406,1980,3201,96.0,86.0,38.0
1786440644.926022,394.406,1980,3201,96.0,86.0,38.0
1786440644.936025,394.406,1980,3201,96.0,86.0,38.0
1786440644.946023,394.406,1980,3201,96.0,86.0,38.0
1786440644.956024,394.406,1980,3201,96.0,86.0,38.0
1786440644.966023,394.406,1980,3201,96.0,86.0,38.0
1786440644.976023,433.218,1980,3201,96.0,86.0,38.0
1786440644.986022,433.218,1980,3201,96.0,86.0,38.0
1786440644.996024,433.218,1980,3201,96.0,86.0,38.0
1786440645.006021,433.218,1980,3201,96.0,86.0,38.0
