t_rel_s,measured_w,predicted_w
0.000,222.06,243.23
0.200,221.54,247.51
0.400,221.56,213.93
0.600,221.54,231.24
0.800,220.49,227.14
1.000,220.90,231.65
1.200,223.63,253.29
1.400,226.29,223.64
1.600,229.90,241.13
1.800,233.03,236.98
2.000,235.89,241.41
2.200,239.08,253.95
2.400,240.54,253.67
2.600,239.96,244.79
2.800,239.48,240.53
3.000,240.05,244.97
3.200,239.34,236.58
3.400,238.78,253.71
3.600,237.52,241.10
3.800,240.75,220.12
4.000,240.45,242.15
4.200,238.95,251.09
4.400,237.67,251.09
4.600,239.43,255.29
4.800,237.77,246.19
5.000,237.68,245.94
5.200,238.34,241.77
5.400,238.35,240.83
5.600,238.00,244.27
5.800,237.20,244.28
6.000,236.42,235.89
6.200,236.75,253.39
6.400,241.91,215.81
6.600,247.53,246.54
6.800,249.63,233.55
7.000,249.70,255.18
7.200,249.82,241.94
7.400,245.36,246.30
7.600,240.99,237.80
7.800,239.80,246.22
8.000,240.83,245.54
8.200,240.50,248.53
8.400,239.86,235.68
8.600,239.28,248.49
8.800,240.09,240.58
9.000,240.82,249.45
9.200,239.62,236.42
9.400,237.74,236.22
9.600,235.25,189.21
9.800,228.57,219.65
10.000,232.20,246.23
10.200,233.41,233.19
10.400,235.54,242.05
10.600,236.77,246.08
10.800,239.30,246.41
11.000,237.53,242.08
11.200,236.89,246.20
11.400,236.61,250.26
11.600,236.97,248.49
11.800,235.93,239.86
12.000,232.95,244.10
12.200,231.15,244.12
12.400,230.23,248.41
12.600,229.50,248.51
12.800,231.42,252.74
13.000,233.39,239.99
13.200,234.65,252.82
13.400,235.31,244.43
13.600,238.48,236.33
13.800,240.52,244.83
14.000,241.00,253.34
14.200,239.72,253.35
14.400,238.24,249.06
14.600,233.98,253.28
14.800,229.75,244.79
15.000,228.60,232.10
15.200,232.14,240.24
15.400,232.71,252.82
15.600,232.59,240.19
15.800,235.81,227.98
16.000,238.19,236.92
16.200,235.45,228.64
16.400,239.49,237.90
16.600,242.89,246.63
16.800,244.87,250.57
17.000,244.63,237.48
17.200,245.94,246.23
17.400,245.63,212.01
17.600,268.50,248.65
17.800,267.07,257.34
18.000,267.52,248.05
18.200,269.14,256.09
18.400,267.91,238.78
18.600,246.73,251.89
18.800,245.36,251.76
19.000,244.95,242.56
19.200,244.45,235.90
19.400,245.34,236.23
19.600,244.19,236.53
19.800,244.31,253.64
20.000,244.42,249.53
20.200,253.84,225.20
20.400,263.43,247.75
20.600,264.61,252.51
20.800,264.35,247.86
21.000,264.84,243.06
21.200,257.90,259.77
21.400,242.40,246.52
21.600,240.63,255.40
21.800,238.29,240.66
22.000,236.67,239.96
22.200,234.66,240.05
22.400,235.30,244.61
22.600,246.28,225.11
22.800,255.83,238.36
23.000,258.33,247.75
23.200,264.16,230.42
23.400,267.27,252.66
23.600,259.99,252.32
23.800,255.06,234.68
24.000,257.06,256.27
24.200,253.04,246.28
24.400,249.78,241.31
24.600,248.08,220.22
24.800,268.95,239.23
25.000,267.39,234.45
25.200,266.91,247.93
25.400,267.19,247.88
25.600,266.91,243.36
