t_rel_s,measured_w,predicted_w
0.000,393.14,337.34
0.200,389.75,420.75
0.400,390.76,421.40
0.600,390.51,422.05
0.800,391.34,422.70
1.000,396.05,423.35
1.200,399.17,424.00
1.400,398.64,415.12
1.600,396.93,355.99
1.800,392.78,393.22
2.000,392.64,393.70
2.200,391.94,403.42
2.400,391.65,413.22
2.600,394.23,413.74
2.800,398.63,423.67
3.000,399.24,424.32
3.200,397.73,347.45
3.400,395.23,402.92
3.600,394.82,394.00
3.800,392.26,375.60
4.000,390.35,413.00
4.200,392.46,422.71
4.400,394.74,404.57
4.600,395.11,405.10
4.800,397.06,385.00
5.000,398.35,384.86
5.200,396.13,403.74
5.400,395.71,384.95
5.600,394.49,403.76
5.800,394.34,413.25
6.000,395.39,413.82
6.200,397.31,386.15
6.400,395.74,366.70
6.600,394.73,394.06
6.800,395.59,403.42
7.000,394.62,394.14
7.200,395.02,413.01
7.400,396.75,413.16
7.600,399.26,413.69
7.800,398.09,395.31
8.000,395.39,376.12
8.200,393.73,403.51
8.400,393.95,394.19
8.600,393.74,403.39
8.800,395.46,403.74
9.000,397.89,413.16
9.200,399.21,423.00
9.400,399.47,395.33
9.600,400.07,385.34
9.800,398.62,403.58
10.000,398.87,403.57
10.200,399.31,394.10
10.400,397.68,403.70
10.600,395.99,413.10
10.800,396.31,422.94
11.000,396.00,395.24
11.200,393.29,375.95
11.400,394.51,394.28
11.600,395.26,385.08
11.800,394.24,394.27
12.000,394.51,413.03
12.200,396.73,413.19
12.400,398.26,413.75
12.600,398.73,404.65
12.800,398.34,366.74
13.000,398.83,403.67
13.200,399.76,375.73
13.400,398.71,394.11
13.600,398.24,394.29
13.800,398.44,412.93
14.000,399.86,413.49
14.200,398.82,423.41
14.400,398.97,376.26
14.600,397.25,394.54
14.800,398.12,394.47
15.000,396.68,384.84
15.200,397.91,403.40
15.400,398.29,403.50
15.600,400.72,422.62
15.800,401.04,423.27
16.000,401.17,376.07
16.200,400.17,413.18
16.400,399.49,385.42
16.600,398.97,375.84
16.800,399.83,403.57
17.000,401.19,394.33
17.200,401.73,413.37
17.400,402.37,423.26
17.600,404.08,385.18
17.800,404.60,394.50
18.000,404.12,403.90
18.200,405.33,394.28
18.400,406.00,403.63
18.600,404.58,403.82
18.800,402.56,404.09
19.000,401.43,423.21
19.200,397.46,366.83
19.400,394.84,394.59
19.600,393.90,394.54
19.800,393.82,375.77
