t_rel_s,measured_w,predicted_w
0.000,369.96,386.85
0.200,369.59,413.11
0.400,368.03,343.44
0.600,363.87,369.94
0.800,363.78,370.22
1.000,364.51,361.83
1.200,365.92,406.07
1.400,369.56,362.57
1.600,377.32,397.88
1.800,380.67,362.95
2.000,383.47,389.34
2.200,385.77,406.34
2.400,385.65,406.17
2.600,385.43,388.27
2.800,382.22,397.35
3.000,382.26,397.04
3.200,381.36,388.08
3.400,380.07,413.93
3.600,379.30,396.48
3.800,379.66,361.56
4.000,381.10,405.74
4.200,383.96,405.83
4.400,385.14,397.13
4.600,386.19,406.00
4.800,387.91,379.48
5.000,387.14,397.15
5.200,384.87,397.24
5.400,385.22,370.58
5.600,384.28,396.84
5.800,385.37,388.23
6.000,386.83,388.35
6.200,388.35,406.41
6.400,387.94,362.40
6.600,389.62,397.50
6.800,390.12,371.11
7.000,391.29,406.21
7.200,391.81,406.12
7.400,393.48,397.37
7.600,394.19,379.62
7.800,395.72,397.44
8.000,395.03,379.74
8.200,395.70,397.45
8.400,395.89,379.63
8.600,393.38,397.53
8.800,392.08,397.91
9.000,392.57,406.85
9.200,393.39,388.49
9.400,393.08,291.77
9.600,394.86,467.50
9.800,394.30,370.94
10.000,395.38,388.44
10.200,392.84,371.04
10.400,391.85,397.48
10.600,393.67,397.98
10.800,395.28,398.37
11.000,394.21,398.28
11.200,394.04,398.04
11.400,396.48,379.72
11.600,390.51,405.90
11.800,384.98,387.77
12.000,382.42,396.31
12.200,380.73,396.61
12.400,378.71,396.95
12.600,383.16,396.98
12.800,385.74,397.06
13.000,387.36,397.25
13.200,388.69,405.95
13.400,390.05,388.26
13.600,388.11,379.46
13.800,386.34,414.28
14.000,384.49,405.32
14.200,381.72,413.69
14.400,379.46,404.97
14.600,378.51,396.02
14.800,377.85,396.11
15.000,376.90,404.74
15.200,377.67,387.36
15.400,378.76,396.20
15.600,379.44,387.77
15.800,383.00,396.98
16.000,387.02,379.92
16.200,388.73,371.52
16.400,390.88,371.75
16.600,395.29,406.87
16.800,397.14,389.28
17.000,398.20,380.74
17.200,400.76,380.66
17.400,401.88,371.68
17.600,400.99,406.90
17.800,399.94,406.69
18.000,399.76,388.63
18.200,398.21,406.33
18.400,397.55,371.25
18.600,396.29,397.67
18.800,397.41,406.36
19.000,396.54,388.46
19.200,396.41,379.86
19.400,398.10,345.16
19.600,401.25,406.67
19.800,402.16,407.13
20.000,403.03,380.55
20.200,402.07,380.52
20.400,400.37,407.31
20.600,397.99,389.79
20.800,396.78,389.19
21.000,396.31,397.27
21.200,395.04,405.53
21.400,392.52,397.08
21.600,391.06,397.16
21.800,388.74,387.99
22.000,387.56,379.35
22.200,390.31,379.60
22.400,393.83,388.66
22.600,396.61,388.71
22.800,399.03,389.10
23.000,401.06,380.46
23.200,400.68,363.01
23.400,403.28,407.22
23.600,402.82,380.70
23.800,403.30,389.51
24.000,403.31,406.93
24.200,402.51,389.03
24.400,398.94,389.27
24.600,398.80,380.42
24.800,397.76,379.67
25.000,398.05,380.12
25.200,399.25,389.18
25.400,400.39,388.76
25.600,400.24,389.32
25.800,401.07,380.67
26.000,401.50,371.90
26.200,402.55,372.02
26.400,405.35,398.47
26.600,407.06,389.42
26.800,406.44,398.32
27.000,407.33,372.08
27.200,406.78,398.28
27.400,403.80,406.83
27.600,400.99,397.44
27.800,398.34,388.18
28.000,394.99,405.34
28.200,390.83,413.82
28.400,386.29,405.21
28.600,383.31,404.85
28.800,380.84,396.12
29.000,378.59,396.24
29.200,378.63,413.62
29.400,379.47,413.56
29.600,379.67,387.57
29.800,381.98,387.90
30.000,384.84,397.10
30.200,388.45,379.84
30.400,391.75,379.73
30.600,395.21,406.15
30.800,397.55,380.35
31.000,399.18,407.21
31.200,398.62,389.34
31.400,398.90,397.71
31.600,398.39,371.20
31.800,397.65,397.42
32.000,396.75,405.59
32.200,395.25,379.35
32.400,394.14,388.08
32.600,394.18,397.17
32.800,391.93,362.39
33.000,392.15,397.93
33.200,393.82,406.19
33.400,393.82,397.37
33.600,393.50,388.86
33.800,394.26,406.18
34.000,394.78,379.89
34.200,394.02,388.87
34.400,393.50,388.02
34.600,391.22,387.87
34.800,389.04,388.12
35.000,386.93,388.17
35.200,385.91,379.70
35.400,386.48,362.43
35.600,389.23,388.85
35.800,392.15,380.14
36.000,396.02,371.47
36.200,395.82,397.93
36.400,395.91,380.65
36.600,396.07,381.03
