t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786431254.261034,155.579,1980,3201,0.0,0.0,32.0
1786431254.271118,155.579,1980,3201,0.0,0.0,32.0
1786431254.281107,155.579,1980,3201,0.0,0.0,32.0
1786431254.291105,155.579,1980,3201,0.0,0.0,32.0
1786431254.301106,150.513,1980,3201,0.0,0.0,32.0
1786431254.311108,150.513,1980,3201,0.0,0.0,32.0
1786431254.321100,150.513,1980,3201,0.0,0.0,32.0
1786431254.331105,150.513,1980,3201,0.0,0.0,32.0
1786431254.341105,150.513,1980,3201,0.0,0.0,32.0
1786431254.351101,150.513,1980,3201,0.0,0.0,32.0
1786431254.361099,150.513,1980,3201,0.0,0.0,32.0
1786431254.371104,150.513,1980,3201,0.0,0.0,32.0
1786431254.381105,150.513,1980,3201,0.0,0.0,32.0
1786431254.391100,150.513,1980,3201,0.0,0.0,32.0
1786431254.401098,173.987,1980,3201,0.0,0.0,34.0
1786431254.411106,173.987,1980,3201,0.0,0.0,34.0
1786431254.421106,173.987,1980,3201,0.0,0.0,34.0
1786431254.431098,173.987,1980,3201,0.0,0.0,34.0
1786431254.441095,173.987,1980,3201,0.0,0.0,34.0
1786431254.451104,173.987,1980,3201,0.0,0.0,34.0
1786431254.461105,173.987,1980,3201,0.0,0.0,34.0
1786431254.471098,173.987,1980,3201,0.0,0.0,34.0
1786431254.481095,173.987,1980,3201,0.0,0.0,34.0
1786431254.491107,173.987,1980,3201,0.0,0.0,34.0
1786431254.501108,198.700,1980,3201,88.0,65.0,34.0
1786431254.511101,198.700,1980,3201,88.0,65.0,34.0
1786431254.521105,198.700,1980,3201,88.0,65.0,34.0
1786431254.531106,198.700,1980,3201,88.0,65.0,34.0
1786431254.541166,198.700,1980,3201,88.0,65.0,34.0
1786431254.551104,198.700,1980,3201,88.0,65.0,34.0
1786431254.561164,198.700,1980,3201,88.0,65.0,34.0
1786431254.571109,198.700,1980,3201,88.0,65.0,34.0
1786431254.581110,198.700,1980,3201,88.0,65.0,34.0
1786431254.591103,198.700,1980,3201,88.0,65.0,34.0
1786431254.601108,222.249,1980,3201,88.0,65.0,35.0
1786431254.611108,222.249,1980,3201,88.0,65.0,35.0
1786431254.621107,222.249,1980,3201,88.0,65.0,35.0
1786431254.631104,222.249,1980,3201,88.0,65.0,35.0
1786431254.641108,222.249,1980,3201,88.0,65.0,35.0
1786431254.651108,222.249,1980,3201,88.0,65.0,35.0
1786431254.661108,222.249,1980,3201,88.0,65.0,35.0
1786431254.671103,222.249,1980,3201,88.0,65.0,35.0
1786431254.681108,222.249,1980,3201,88.0,65.0,35.0
1786431254.691107,222.249,1980,3201,88.0,65.0,35.0
1786431254.701102,218.063,1980,3201,88.0,66.0,35.0
1786431254.711480,218.063,1980,3201,88.0,66.0,35.0
1786431254.721108,218.063,1980,3201,88.0,66.0,35.0
1786431254.731108,218.063,1980,3201,88.0,66.0,35.0
1786431254.741103,218.063,1980,3201,88.0,66.0,35.0
1786431254.751117,218.063,1980,3201,88.0,66.0,35.0
1786431254.761106,218.063,1980,3201,88.0,66.0,35.0
1786431254.771100,218.063,1980,3201,88.0,66.0,35.0
1786431254.781099,218.063,1980,3201,88.0,66.0,35.0
1786431254.791106,218.063,1980,3201,88.0,66.0,35.0
1786431254.801105,245.043,1980,3201,88.0,66.0,35.0
1786431254.811101,245.043,1980,3201,88.0,66.0,35.0
1786431254.821099,245.043,1980,3201,88.0,66.0,35.0
1786431254.831105,245.043,1980,3201,88.0,66.0,35.0
1786431254.841105,245.043,1980,3201,88.0,66.0,35.0
1786431254.851101,245.043,1980,3201,88.0,66.0,35.0
1786431254.861099,245.043,1980,3201,88.0,66.0,35.0
1786431254.871105,245.043,1980,3201,88.0,66.0,35.0
1786431254.881105,245.043,1980,3201,88.0,66.0,35.0
1786431254.891099,245.043,1980,3201,88.0,66.0,35.0
1786431254.901095,270.633,1980,3201,88.0,65.0,36.0
1786431254.911105,270.633,1980,3201,88.0,65.0,36.0
1786431254.921106,270.633,1980,3201,88.0,65.0,36.0
1786431254.931099,270.633,1980,3201,88.0,65.0,36.0
1786431254.941240,270.633,1980,3201,88.0,65.0,36.0
1786431254.951105,270.633,1980,3201,88.0,65.0,36.0
1786431254.961107,270.633,1980,3201,88.0,65.0,36.0
1786431254.971099,270.633,1980,3201,88.0,65.0,36.0
1786431254.981105,270.633,1980,3201,88.0,65.0,36.0
1786431254.991105,270.633,1980,3201,88.0,65.0,36.0
1786431255.001099,297.095,1980,3201,88.0,65.0,36.0
1786431255.011099,297.095,1980,3201,88.0,65.0,36.0
1786431255.021104,297.095,1980,3201,88.0,65.0,36.0
1786431255.031105,297.095,1980,3201,88.0,65.0,36.0
1786431255.041101,297.095,1980,3201,88.0,65.0,36.0
1786431255.051235,297.095,1980,3201,88.0,65.0,36.0
1786431255.061105,297.095,1980,3201,88.0,65.0,36.0
1786431255.071105,297.095,1980,3201,88.0,65.0,36.0
1786431255.081099,297.095,1980,3201,88.0,65.0,36.0
1786431255.091100,297.095,1980,3201,88.0,65.0,36.0
1786431255.101105,322.405,1980,3201,88.0,65.0,36.0
1786431255.111105,322.405,1980,3201,88.0,65.0,36.0
1786431255.121099,322.405,1980,3201,88.0,65.0,36.0
1786431255.131104,322.405,1980,3201,88.0,65.0,36.0
1786431255.141105,322.405,1980,3201,88.0,65.0,36.0
1786431255.151098,322.405,1980,3201,88.0,65.0,36.0
1786431255.161232,322.405,1980,3201,88.0,65.0,36.0
1786431255.171106,322.405,1980,3201,88.0,65.0,36.0
1786431255.181105,322.405,1980,3201,88.0,65.0,36.0
1786431255.191101,322.405,1980,3201,88.0,65.0,36.0
1786431255.201104,343.835,1980,3201,88.0,65.0,36.0
1786431255.211106,343.835,1980,3201,88.0,65.0,36.0
1786431255.221101,343.835,1980,3201,88.0,65.0,36.0
1786431255.231099,343.835,1980,3201,88.0,65.0,36.0
1786431255.241105,343.835,1980,3201,88.0,65.0,36.0
1786431255.251105,343.835,1980,3201,88.0,65.0,36.0
1786431255.261098,343.835,1980,3201,88.0,65.0,36.0
