t_rel_s,measured_w,predicted_w
0.000,477.56,299.85
0.200,488.26,220.11
0.400,517.01,567.95
0.600,514.58,570.78
0.800,509.84,573.66
1.000,514.39,612.10
1.200,503.08,615.47
1.400,477.53,600.78
1.600,482.12,603.77
1.800,488.15,625.15
2.000,490.68,371.08
2.200,501.76,242.21
2.400,524.15,238.73
2.600,544.46,572.59
2.800,537.39,539.56
3.000,535.27,595.13
3.200,524.05,544.58
3.400,500.61,565.04
3.600,472.83,603.94
3.800,477.79,570.22
4.000,476.14,572.72
4.200,473.03,464.51
4.400,478.01,260.01
4.600,495.36,441.38
4.800,494.34,493.90
5.000,494.98,547.58
5.200,494.33,515.58
5.400,484.80,570.02
5.600,468.69,555.16
5.800,469.10,522.61
6.000,469.84,595.88
6.200,469.70,562.84
6.400,474.07,399.67
6.600,481.23,150.88
6.800,525.61,275.52
7.000,542.07,418.24
7.200,544.07,478.55
7.400,544.47,516.33
7.600,545.85,536.59
7.800,497.89,501.38
8.000,476.97,577.04
8.200,473.69,523.27
8.400,472.33,581.25
8.600,472.30,546.13
8.800,476.69,414.43
9.000,484.62,240.78
9.200,505.22,504.56
9.400,503.62,498.59
9.600,498.53,534.45
9.800,495.98,518.04
10.000,490.75,537.68
10.200,478.96,557.89
10.400,488.89,560.83
10.600,496.32,527.08
10.800,498.63,474.09
11.000,506.19,257.41
11.200,516.65,496.67
11.400,513.71,325.00
11.600,533.75,520.05
11.800,530.26,559.03
12.000,527.95,560.95
12.200,516.06,579.93
12.400,511.60,545.47
12.600,488.05,583.32
12.800,483.22,441.37
13.000,485.80,297.25
13.200,486.96,295.83
13.400,484.12,492.76
13.600,491.49,384.28
13.800,497.38,457.63
14.000,497.24,476.82
14.200,490.44,369.80
14.400,511.42,575.55
14.600,508.19,504.65
14.800,507.48,580.99
15.000,500.27,564.21
15.200,502.51,320.65
15.400,504.41,358.30
15.600,511.67,277.96
15.800,516.27,493.40
16.000,517.95,492.87
16.200,516.82,544.85
16.400,498.42,527.67
16.600,493.44,560.12
16.800,487.87,490.49
17.000,490.30,599.82
17.200,497.88,439.47
17.400,503.43,383.89
17.600,517.42,275.76
17.800,550.62,439.23
18.000,558.61,510.10
18.200,558.18,509.91
18.400,551.43,511.14
18.600,530.86,566.11
18.800,502.44,603.07
19.000,495.40,496.34
19.200,495.04,516.02
19.400,497.25,352.42
19.600,514.14,444.55
19.800,521.08,240.13
20.000,543.52,347.77
20.200,566.41,368.51
20.400,575.76,495.95
20.600,556.35,551.61
20.800,550.53,552.64
21.000,525.94,590.58
21.200,507.02,500.56
21.400,494.39,575.45
21.600,504.09,428.38
21.800,504.75,389.05
22.000,523.09,277.30
22.200,529.52,486.64
22.400,528.00,466.01
22.600,522.08,502.09
22.800,523.67,520.92
23.000,496.91,486.50
23.200,485.27,505.73
23.400,483.43,565.00
23.600,480.80,477.48
23.800,477.76,441.48
24.000,483.57,258.88
24.200,515.39,348.80
24.400,520.30,474.08
24.600,517.57,492.34
24.800,520.96,492.13
25.000,520.37,475.10
25.200,496.42,567.63
25.400,494.43,459.45
25.600,497.69,582.77
25.800,501.61,438.72
26.000,507.39,402.63
26.200,505.98,362.84
26.400,511.15,465.09
26.600,516.26,467.71
26.800,510.73,504.19
27.000,502.51,523.58
27.200,496.96,506.25
27.400,484.11,507.09
27.600,477.18,454.10
27.800,478.22,472.87
28.000,483.88,420.55
28.200,490.14,383.59
28.400,503.24,398.35
28.600,505.89,485.25
28.800,508.04,434.55
29.000,512.45,402.75
29.200,509.21,509.59
29.400,500.10,546.68
29.600,494.50,440.07
29.800,493.94,530.62
30.000,487.68,439.82
30.200,484.22,402.44
30.400,485.89,294.50
30.600,509.83,524.92
30.800,508.46,471.64
31.000,507.21,502.53
31.200,506.39,501.86
31.400,505.92,451.16
31.600,485.14,505.86
31.800,486.33,436.70
32.000,488.11,544.54
32.200,488.94,437.52
32.400,488.47,400.02
32.600,490.13,413.40
32.800,492.37,450.04
33.000,497.23,522.69
33.200,498.36,435.38
33.400,500.77,470.56
33.600,498.69,508.36
33.800,494.76,472.09
34.000,488.73,507.05
34.200,485.61,400.90
34.400,510.93,387.20
34.600,521.23,385.84
34.800,528.04,542.30
35.000,532.29,559.47
35.200,537.48,525.41
35.400,519.81,471.41
35.600,506.65,541.09
35.800,500.03,505.81
36.000,497.41,488.77
36.200,504.60,472.14
36.400,505.86,379.05
36.600,513.91,361.20
36.800,521.84,535.41
37.000,524.34,518.74
37.200,522.74,519.09
37.400,516.57,501.67
37.600,508.59,538.18
37.800,497.44,504.21
38.000,494.87,486.31
38.200,495.32,415.11
38.400,511.18,486.70
38.600,515.01,469.42
38.800,518.90,471.05
39.000,529.90,473.15
39.200,535.34,510.38
39.400,518.24,510.93
39.600,516.94,529.97
39.800,518.21,531.15
40.000,510.93,441.31
40.200,499.43,460.96
40.400,501.44,423.35
40.600,503.41,419.29
40.800,497.80,489.58
41.000,492.92,524.98
41.200,490.18,508.26
41.400,482.50,456.66
41.600,475.23,545.26
41.800,476.68,439.86
42.000,476.56,533.36
42.200,481.27,458.80
42.400,484.72,403.23
42.600,496.76,418.57
42.800,498.31,486.46
43.000,497.12,469.25
43.200,492.84,504.55
43.400,493.15,485.25
43.600,482.65,610.57
43.800,485.23,363.34
44.000,499.90,539.90
44.200,507.05,433.55
44.400,515.74,414.89
