t_rel_s,measured_w,predicted_w
0.000,152.82,144.91
0.200,153.62,152.08
0.400,153.50,148.50
0.600,153.94,148.50
0.800,153.86,152.09
1.000,151.81,148.51
1.200,150.43,148.51
1.400,151.10,152.10
1.600,150.64,148.52
1.800,150.40,148.53
2.000,150.42,148.53
2.200,150.65,152.12
2.400,150.61,148.54
2.600,150.67,148.54
2.800,150.80,152.13
3.000,150.63,148.55
3.200,150.28,148.55
3.400,150.26,148.56
3.600,150.37,152.15
3.800,150.59,148.56
4.000,150.50,148.57
4.200,150.89,152.16
4.400,150.95,148.58
4.600,150.87,148.58
4.800,151.26,148.58
5.000,151.14,152.18
5.200,151.16,148.59
5.400,150.88,148.59
5.600,150.89,152.19
5.800,150.66,148.60
6.000,150.87,145.00
6.200,148.67,119.86
6.400,142.53,119.86
6.600,136.48,119.86
6.800,132.96,141.33
7.000,133.24,152.07
7.200,134.73,148.49
7.400,140.90,148.50
7.600,147.01,152.08
7.800,150.95,148.50
8.000,150.31,148.51
8.200,150.51,148.51
8.400,150.82,152.10
8.600,150.45,148.52
8.800,150.96,148.53
9.000,151.50,152.11
9.200,151.39,148.53
9.400,150.97,148.53
9.600,151.23,152.13
9.800,150.67,148.54
10.000,150.09,148.55
10.200,150.31,152.14
10.400,150.34,148.56
10.600,150.37,148.56
10.800,150.33,148.56
11.000,150.56,152.15
11.200,150.11,148.57
11.400,150.08,152.16
11.600,149.82,148.58
11.800,149.97,152.17
12.000,150.14,148.59
12.200,150.83,148.59
12.400,150.77,152.18
12.600,150.55,148.60
12.800,150.88,144.99
13.000,148.39,119.86
13.200,141.92,119.86
13.400,135.81,130.60
13.600,137.68,152.07
13.800,137.81,148.50
14.000,140.53,152.08
14.200,146.54,148.50
14.400,152.75,148.51
14.600,151.72,152.09
14.800,151.18,148.52
15.000,150.66,152.10
15.200,150.88,148.53
15.400,151.21,152.11
15.600,151.32,148.53
15.800,151.65,148.53
16.000,152.03,152.13
16.200,151.69,148.54
16.400,151.86,152.13
16.600,151.33,148.55
16.800,151.15,152.14
17.000,150.93,148.56
17.200,151.06,148.56
17.400,150.70,152.16
17.600,150.64,148.57
17.800,150.50,148.57
18.000,150.53,152.17
18.200,150.67,148.58
18.400,150.45,152.18
18.600,150.75,148.59
18.800,150.75,148.59
19.000,150.81,152.19
19.200,150.85,148.60
19.400,151.08,148.59
19.600,152.03,144.91
19.800,153.50,152.08
20.000,153.27,148.50
20.200,152.99,152.08
20.400,152.93,148.51
20.600,151.98,148.51
20.800,150.74,152.10
21.000,150.76,148.52
21.200,150.50,148.52
21.400,150.83,148.53
21.600,150.27,152.11
21.800,149.73,148.53
22.000,149.95,148.54
22.200,150.04,152.13
22.400,149.84,148.55
22.600,149.78,148.55
22.800,150.37,152.14
23.000,150.46,148.56
23.200,150.64,148.56
23.400,150.60,152.15
23.600,150.91,148.57
23.800,150.63,152.16
24.000,150.96,148.58
24.200,150.83,148.58
24.400,151.12,152.18
24.600,151.16,148.59
24.800,151.02,148.59
25.000,150.56,152.19
25.200,150.22,148.60
25.400,149.91,148.60
25.600,150.25,141.40
25.800,147.42,119.86
26.000,141.62,119.86
26.200,138.55,137.76
26.400,140.12,152.08
26.600,139.78,148.50
26.800,142.26,148.51
27.000,147.78,152.09
27.200,151.71,148.52
27.400,150.07,148.52
27.600,149.91,152.11
27.800,150.26,148.53
28.000,149.76,148.53
28.200,149.81,152.12
28.400,150.26,148.54
28.600,151.01,148.54
28.800,150.77,148.55
29.000,150.79,152.13
29.200,150.63,148.56
29.400,150.68,148.56
29.600,150.25,148.56
29.800,150.03,152.15
30.000,150.49,148.57
30.200,150.89,148.57
30.400,150.45,148.58
30.600,150.53,152.17
30.800,150.66,148.59
31.000,150.40,148.59
31.200,150.12,148.59
31.400,150.12,152.19
31.600,150.33,148.60
31.800,150.77,148.60
32.000,151.28,148.61
32.200,151.15,148.61
32.400,150.65,127.03
32.600,145.14,119.86
32.800,138.70,119.86
33.000,132.46,130.60
33.200,132.45,148.49
33.400,133.38,148.49
33.600,138.48,152.08
33.800,143.88,148.50
34.000,149.48,148.50
34.200,151.08,152.09
34.400,151.09,148.51
34.600,150.83,148.52
34.800,151.12,152.10
35.000,151.65,148.53
35.200,151.15,148.53
35.400,150.75,152.12
35.600,150.93,148.53
35.800,150.99,148.54
36.000,151.23,152.13
36.200,151.33,148.55
36.400,151.44,148.55
36.600,150.74,148.56
36.800,150.47,152.15
37.000,149.68,148.56
37.200,149.36,148.57
37.400,149.26,152.16
37.600,149.98,148.57
37.800,150.28,148.58
38.000,150.31,148.58
38.200,150.54,152.18
38.400,150.82,148.59
38.600,150.48,148.59
38.800,149.93,152.19
39.000,150.11,148.60
39.200,150.09,130.62
39.400,145.55,119.86
39.600,139.91,119.86
39.800,134.64,130.60
40.000,134.96,148.51
40.200,135.37,148.52
40.400,139.81,152.10
40.600,145.96,148.52
40.800,150.30,148.53
41.000,150.19,152.12
41.200,150.04,148.53
41.400,150.13,134.20
41.600,150.04,166.47
41.800,149.51,148.55
42.000,149.67,148.55
42.200,150.20,152.14
42.400,150.81,148.56
42.600,150.91,148.56
42.800,151.10,148.56
43.000,150.96,152.16
43.200,151.19,148.57
43.400,150.78,148.58
43.600,150.66,152.17
43.800,151.15,148.59
44.000,151.19,148.59
44.200,150.27,152.18
44.400,150.41,148.60
44.600,150.71,148.60
44.800,150.54,152.20
45.000,150.86,148.61
45.200,150.74,148.61
45.400,150.46,152.21
45.600,150.26,148.62
45.800,150.17,148.62
45.936,150.13,150.16
