t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1785477683.770646,143.149,1980,3201,0.0,0.0,38.0
1785477683.780779,143.149,1980,3201,0.0,0.0,38.0
1785477683.790727,143.149,1980,3201,0.0,0.0,38.0
1785477683.800732,143.149,1980,3201,0.0,0.0,38.0
1785477683.810754,143.149,1980,3201,0.0,0.0,38.0
1785477683.820727,143.149,1980,3201,0.0,0.0,38.0
1785477683.831010,143.149,1980,3201,0.0,0.0,38.0
1785477683.840728,146.458,1980,3201,0.0,0.0,38.0
1785477683.850727,146.458,1980,3201,0.0,0.0,38.0
1785477683.860729,146.458,1980,3201,14.0,10.0,38.0
1785477683.870726,146.458,1980,3201,14.0,10.0,38.0
1785477684.030928,171.937,1980,3201,14.0,10.0,41.0
1785477684.030987,171.937,1980,3201,14.0,10.0,41.0
1785477684.041071,186.112,1980,3201,14.0,10.0,41.0
1785477684.051090,186.112,1980,3201,14.0,10.0,41.0
1785477684.061082,186.112,1980,3201,49.0,30.0,41.0
1785477684.071076,186.112,1980,3201,49.0,30.0,41.0
1785477684.081069,186.112,1980,3201,49.0,30.0,41.0
1785477684.091073,186.112,1980,3201,49.0,30.0,41.0
1785477684.101071,186.112,1980,3201,49.0,30.0,41.0
1785477684.111094,186.112,1980,3201,49.0,30.0,41.0
1785477684.121072,186.112,1980,3201,49.0,30.0,41.0
1785477684.131093,186.112,1980,3201,49.0,30.0,41.0
1785477684.141137,185.646,1980,3201,49.0,30.0,41.0
1785477684.151063,185.646,1980,3201,49.0,30.0,41.0
1785477684.161134,185.646,1980,3201,49.0,30.0,41.0
1785477684.171130,185.646,1980,3201,49.0,30.0,41.0
1785477684.181142,185.646,1980,3201,49.0,30.0,41.0
1785477684.191071,185.646,1980,3201,49.0,30.0,41.0
1785477684.201071,185.646,1980,3201,49.0,30.0,41.0
1785477684.211071,185.646,1980,3201,49.0,30.0,41.0
1785477684.221072,185.646,1980,3201,49.0,30.0,41.0
1785477684.231175,185.646,1980,3201,49.0,30.0,41.0
1785477684.241159,200.926,1980,3201,49.0,30.0,41.0
1785477684.251091,200.926,1980,3201,49.0,30.0,41.0
1785477684.261184,200.926,1980,3201,61.0,44.0,41.0
1785477684.271140,200.926,1980,3201,61.0,44.0,41.0
1785477684.281071,200.926,1980,3201,61.0,44.0,42.0
1785477684.291069,200.926,1980,3201,61.0,44.0,42.0
1785477684.301080,200.926,1980,3201,61.0,44.0,42.0
1785477684.311074,200.926,1980,3201,61.0,44.0,42.0
1785477684.321069,200.926,1980,3201,61.0,44.0,42.0
1785477684.331868,200.926,1980,3201,61.0,44.0,42.0
1785477684.341072,220.516,1980,3201,61.0,44.0,42.0
1785477684.351072,220.516,1980,3201,61.0,44.0,42.0
1785477684.361069,220.516,1980,3201,61.0,44.0,42.0
1785477684.371071,220.516,1980,3201,61.0,44.0,42.0
1785477684.381071,220.516,1980,3201,61.0,44.0,42.0
1785477684.391242,220.516,1980,3201,61.0,44.0,42.0
1785477684.401132,220.516,1980,3201,61.0,44.0,42.0
1785477684.411095,220.516,1980,3201,61.0,44.0,42.0
1785477684.421091,220.516,1980,3201,61.0,44.0,42.0
1785477684.431071,220.516,1980,3201,61.0,44.0,42.0
1785477684.441089,242.498,1980,3201,61.0,44.0,42.0
1785477684.451069,242.498,1980,3201,61.0,44.0,42.0
1785477684.461065,242.498,1980,3201,60.0,43.0,42.0
1785477684.471069,242.498,1980,3201,60.0,43.0,42.0
1785477684.481072,242.498,1980,3201,60.0,43.0,42.0
1785477684.491098,242.498,1980,3201,60.0,43.0,42.0
1785477684.501084,242.498,1980,3201,60.0,43.0,42.0
1785477684.511069,242.498,1980,3201,60.0,43.0,42.0
1785477684.521100,242.498,1980,3201,60.0,43.0,42.0
1785477684.531069,242.498,1980,3201,60.0,43.0,42.0
1785477684.541071,262.997,1980,3201,60.0,43.0,42.0
1785477684.551072,262.997,1980,3201,60.0,43.0,42.0
1785477684.561071,262.997,1980,3201,60.0,43.0,42.0
1785477684.571073,262.997,1980,3201,60.0,43.0,42.0
1785477684.581069,262.997,1980,3201,60.0,43.0,42.0
1785477684.591069,262.997,1980,3201,60.0,43.0,42.0
1785477684.601083,262.997,1980,3201,60.0,43.0,42.0
1785477684.611068,262.997,1980,3201,60.0,43.0,42.0
1785477684.621091,262.997,1980,3201,60.0,43.0,42.0
1785477684.631068,262.997,1980,3201,60.0,43.0,42.0
1785477684.641579,280.796,1980,3201,60.0,43.0,42.0
1785477684.651068,280.796,1980,3201,60.0,43.0,42.0
1785477684.661081,280.796,1980,3201,62.0,45.0,42.0
1785477684.671082,280.796,1980,3201,62.0,45.0,42.0
1785477684.681069,280.796,1980,3201,62.0,45.0,42.0
1785477684.691100,280.796,1980,3201,62.0,45.0,42.0
1785477684.701068,280.796,1980,3201,62.0,45.0,42.0
1785477684.711068,280.796,1980,3201,62.0,45.0,42.0
1785477684.721068,280.796,1980,3201,62.0,45.0,42.0
1785477684.731096,280.796,1980,3201,62.0,45.0,42.0
1785477684.741080,304.915,1980,3201,62.0,45.0,42.0
1785477684.751136,304.915,1980,3201,62.0,45.0,42.0
1785477684.761194,304.915,1980,3201,62.0,45.0,42.0
1785477684.771062,304.915,1980,3201,62.0,45.0,42.0
1785477684.781138,304.915,1980,3201,62.0,45.0,42.0
1785477684.791132,304.915,1980,3201,62.0,45.0,42.0
1785477684.801069,304.915,1980,3201,62.0,45.0,42.0
1785477684.811091,304.915,1980,3201,62.0,45.0,42.0
1785477684.821114,304.915,1980,3201,62.0,45.0,42.0
1785477684.831069,304.915,1980,3201,62.0,45.0,42.0
1785477684.841083,322.934,1980,3201,62.0,45.0,42.0
1785477684.851086,322.934,1980,3201,62.0,45.0,42.0
1785477684.861131,322.934,1980,3201,63.0,46.0,42.0
