t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1785477777.806859,142.811,1980,3201,0.0,0.0,38.0
1785477777.816915,142.811,1980,3201,0.0,0.0,38.0
1785477777.826910,142.811,1980,3201,0.0,0.0,38.0
1785477777.836907,142.811,1980,3201,0.0,0.0,38.0
1785477777.846906,142.811,1980,3201,0.0,0.0,38.0
1785477777.856906,142.811,1980,3201,0.0,0.0,38.0
1785477777.866908,142.811,1980,3201,0.0,0.0,38.0
1785477777.876909,142.811,1980,3201,0.0,0.0,38.0
1785477777.886908,145.759,1980,3201,0.0,0.0,38.0
1785477777.896909,145.759,1980,3201,0.0,0.0,38.0
1785477777.906906,145.759,1980,3201,0.0,0.0,38.0
1785477777.916907,145.759,1980,3201,0.0,0.0,38.0
1785477777.926985,145.759,1980,3201,0.0,0.0,39.0
1785477777.936908,145.759,1980,3201,0.0,0.0,39.0
1785477777.946924,145.759,1980,3201,0.0,0.0,39.0
1785477777.956977,145.759,1980,3201,0.0,0.0,39.0
1785477777.966968,145.759,1980,3201,0.0,0.0,39.0
1785477777.976905,145.759,1980,3201,0.0,0.0,39.0
1785477777.986939,146.790,1980,3201,0.0,0.0,39.0
1785477777.996974,146.790,1980,3201,0.0,0.0,39.0
1785477778.006966,146.790,1980,3201,0.0,0.0,39.0
1785477778.016937,146.790,1980,3201,0.0,0.0,39.0
1785477778.026973,146.790,1980,3201,0.0,0.0,38.0
1785477778.036904,146.790,1980,3201,0.0,0.0,38.0
1785477778.046905,146.790,1980,3201,0.0,0.0,38.0
1785477778.057069,146.790,1980,3201,0.0,0.0,38.0
1785477778.066903,146.790,1980,3201,0.0,0.0,38.0
1785477778.076919,146.790,1980,3201,0.0,0.0,38.0
1785477778.086914,146.139,1980,3201,0.0,0.0,38.0
1785477778.096977,146.139,1980,3201,0.0,0.0,38.0
1785477778.106978,146.139,1980,3201,0.0,0.0,38.0
1785477778.116975,146.139,1980,3201,0.0,0.0,38.0
1785477778.126979,146.139,1980,3201,0.0,0.0,38.0
1785477778.136970,146.139,1980,3201,0.0,0.0,38.0
1785477778.146978,146.139,1980,3201,0.0,0.0,38.0
1785477778.157032,146.139,1980,3201,0.0,0.0,38.0
1785477778.166908,146.139,1980,3201,0.0,0.0,38.0
1785477778.177044,146.139,1980,3201,0.0,0.0,38.0
1785477778.186971,138.935,1980,3201,0.0,0.0,38.0
1785477778.196905,138.935,1980,3201,0.0,0.0,38.0
1785477778.207009,138.935,1980,3201,0.0,0.0,38.0
1785477778.216976,138.935,1980,3201,0.0,0.0,38.0
1785477778.226942,138.935,1980,3201,0.0,0.0,38.0
1785477778.236939,138.935,1980,3201,0.0,0.0,38.0
1785477778.246909,138.935,1980,3201,0.0,0.0,38.0
1785477778.256906,138.935,1980,3201,0.0,0.0,38.0
1785477778.266940,138.935,1980,3201,0.0,0.0,38.0
1785477778.276908,138.935,1980,3201,0.0,0.0,38.0
1785477778.286940,124.467,1980,3201,0.0,0.0,38.0
1785477778.296966,124.467,1980,3201,0.0,0.0,38.0
1785477778.306941,124.467,1980,3201,0.0,0.0,38.0
1785477778.316938,124.467,1980,3201,0.0,0.0,38.0
1785477778.326903,124.467,1980,3201,0.0,0.0,38.0
1785477778.336973,124.467,1980,3201,0.0,0.0,38.0
1785477778.346967,124.467,1980,3201,0.0,0.0,38.0
1785477778.356916,124.467,1980,3201,0.0,0.0,38.0
1785477778.366986,124.467,1980,3201,0.0,0.0,38.0
1785477778.376938,124.467,1980,3201,0.0,0.0,38.0
1785477778.386938,125.797,1980,3201,0.0,0.0,38.0
1785477778.396968,125.797,1980,3201,0.0,0.0,38.0
1785477778.406940,125.797,1980,3201,0.0,0.0,38.0
1785477778.416941,125.797,1980,3201,0.0,0.0,38.0
1785477778.426939,125.797,1980,3201,0.0,0.0,38.0
1785477778.436939,125.797,1980,3201,0.0,0.0,38.0
1785477778.446941,125.797,1980,3201,0.0,0.0,38.0
1785477778.456942,125.797,1980,3201,0.0,0.0,38.0
1785477778.466938,125.797,1980,3201,0.0,0.0,38.0
