t_rel_s,measured_w,predicted_w
0.000,162.46,252.99
0.200,161.17,279.69
0.400,162.40,173.16
0.600,165.00,146.56
0.800,160.18,119.86
1.000,164.20,119.86
1.200,157.59,146.66
1.400,147.88,119.86
1.600,153.31,281.15
1.800,170.78,227.72
2.000,186.48,336.00
2.200,214.77,309.55
2.400,240.68,337.06
2.600,252.06,283.13
2.800,258.87,310.87
3.000,261.90,338.73
3.200,264.71,257.15
3.400,272.56,312.59
3.600,279.93,313.20
3.800,285.05,230.69
4.000,287.24,286.93
4.200,292.27,315.37
4.400,290.40,288.17
4.600,290.42,344.91
4.800,291.22,261.11
5.000,290.94,318.43
5.200,290.72,262.47
5.400,291.98,291.67
5.600,296.25,263.73
5.800,302.62,322.36
6.000,309.28,236.00
6.200,313.04,382.89
6.400,316.70,296.09
6.600,317.51,297.43
6.800,316.98,268.44
7.000,317.60,269.60
7.200,318.35,360.60
7.400,317.82,301.54
7.600,318.78,302.40
7.800,319.71,242.23
8.000,320.91,333.97
8.200,321.84,271.33
8.400,322.61,296.79
8.600,322.80,325.55
8.800,321.81,267.00
9.000,317.54,355.75
9.200,313.31,297.54
9.400,313.05,328.06
9.600,312.56,268.87
9.800,312.08,239.49
10.000,314.48,209.72
10.200,316.60,299.75
10.400,316.08,270.73
10.600,317.94,331.07
10.800,319.15,330.05
11.000,320.88,299.62
11.200,320.97,360.54
11.400,322.03,300.92
11.600,322.35,332.16
11.800,321.53,331.96
12.000,319.97,271.56
12.200,320.66,271.63
12.400,322.15,331.10
12.600,322.71,330.86
12.800,321.06,331.03
13.000,321.30,300.43
13.200,320.64,330.95
13.400,317.54,300.22
13.600,316.08,300.26
13.800,317.24,299.33
14.000,314.40,359.11
14.200,310.65,360.18
14.400,308.77,330.29
14.600,306.55,328.39
14.800,302.57,328.16
15.000,304.72,268.89
15.200,307.45,297.85
15.400,308.21,297.62
15.600,307.44,297.78
15.800,310.69,238.31
16.000,310.45,297.96
16.200,310.40,327.81
16.400,313.16,267.99
16.600,317.04,296.87
16.800,318.09,324.64
17.000,319.45,324.08
17.200,318.59,265.05
17.400,316.63,294.45
17.600,315.13,265.73
17.800,314.33,354.06
18.000,311.99,325.17
18.200,311.08,295.71
18.400,309.79,355.12
18.600,308.10,208.64
18.800,308.07,326.47
19.000,309.31,325.87
19.200,310.55,237.59
19.400,314.49,267.48
19.600,319.12,238.51
19.800,324.15,357.65
20.000,328.47,328.19
20.200,333.14,239.43
20.400,336.57,329.22
20.600,338.82,299.11
20.800,337.64,359.89
21.000,337.22,270.87
21.200,337.24,332.67
21.400,334.12,333.10
21.600,333.97,303.52
21.800,334.93,334.68
22.000,336.30,242.07
22.200,337.59,242.33
22.400,341.19,273.46
22.600,341.27,242.73
22.800,342.15,364.65
23.000,342.46,242.48
23.200,345.26,273.03
23.400,345.54,272.38
23.600,345.98,334.02
23.800,343.61,242.51
24.000,342.02,334.71
24.200,337.13,303.46
24.400,333.58,333.67
24.600,332.18,272.49
24.800,332.46,304.43
25.000,332.26,212.04
25.200,334.26,274.06
25.400,336.58,336.57
25.600,337.38,273.83
25.800,337.38,305.50
26.000,336.31,275.18
26.200,336.07,243.17
26.400,336.32,273.39
26.600,336.70,302.55
26.800,338.70,334.52
27.000,339.91,273.64
27.200,340.74,304.05
27.400,338.76,304.52
27.600,335.56,335.95
27.800,331.19,275.04
28.000,329.77,367.89
28.200,325.76,337.83
28.400,323.66,338.87
28.600,324.45,369.56
28.800,326.51,307.71
29.000,325.97,338.03
29.200,326.52,305.59
29.400,326.17,366.68
29.600,325.02,334.65
29.800,325.69,273.54
30.000,327.66,273.39
30.200,330.33,333.04
30.400,331.54,241.64
30.600,333.78,303.47
30.800,331.97,302.47
31.000,329.54,333.79
31.200,327.31,334.48
31.400,325.43,272.84
31.600,325.21,303.59
31.800,326.67,272.26
32.000,328.51,331.32
32.200,329.90,270.36
32.400,333.19,301.20
32.600,332.85,270.37
32.800,332.83,300.37
33.000,331.89,299.91
33.200,333.22,297.79
33.400,329.51,326.91
33.600,327.68,326.77
33.800,324.99,327.15
34.000,323.46,355.75
34.200,321.78,296.73
34.400,322.48,297.13
34.600,325.34,297.26
34.800,328.80,326.72
35.000,331.73,297.68
35.200,329.95,298.82
35.400,329.86,240.01
35.600,330.30,331.58
35.800,331.21,301.02
36.000,333.27,240.63
36.200,337.32,332.47
36.400,341.38,364.25
36.600,342.16,272.78
36.800,342.27,272.31
37.000,341.82,211.10
37.200,341.53,211.34
37.400,343.06,331.89
37.600,342.34,271.54
37.800,342.28,332.36
38.000,342.06,333.45
38.200,339.95,334.25
38.400,338.09,303.49
38.600,340.22,271.89
38.800,340.08,302.51
39.000,340.81,303.24
39.200,343.14,333.07
39.400,344.20,332.50
39.600,343.24,302.36
39.800,340.37,300.71
40.000,336.37,361.13
40.200,332.04,301.48
40.400,330.14,302.44
40.600,328.46,242.18
40.800,330.64,304.21
41.000,334.58,273.47
41.200,338.89,304.66
41.400,340.70,335.54
41.600,339.14,366.72
41.800,337.52,305.80
42.000,336.51,274.76
42.200,336.11,335.78
42.400,334.29,303.21
42.600,335.32,334.59
42.800,335.88,303.07
43.000,334.02,302.40
43.200,333.00,272.99
43.400,331.73,365.84
43.600,331.55,180.95
43.800,334.20,302.29
44.000,337.52,329.75
44.200,336.11,358.54
44.400,335.26,329.15
44.600,335.38,329.36
44.800,331.21,329.61
45.000,328.87,361.26
45.200,328.63,330.81
45.400,327.97,360.38
45.600,325.06,359.20
45.800,322.42,329.45
46.000,318.72,359.90
46.200,315.75,330.38
46.400,312.38,360.02
46.600,312.33,359.82
46.800,312.32,330.79
47.000,312.00,360.17
47.200,311.14,357.87
47.400,310.99,325.86
47.600,306.75,353.91
47.800,302.98,323.82
48.000,300.49,351.59
48.200,297.90,352.10
48.400,294.48,323.69
48.600,295.30,351.54
48.800,296.83,349.79
49.000,293.99,320.00
49.200,290.32,347.89
49.400,286.82,347.63
49.600,281.14,346.77
49.800,274.17,260.43
50.000,256.28,119.86
50.200,226.05,147.60
50.400,197.80,230.92
50.600,185.37,314.35
50.800,180.66,339.87
51.000,183.94,336.23
51.200,195.26,308.47
51.400,203.76,335.53
51.600,199.41,334.80
51.800,184.94,307.80
51.999,174.68,336.10
