t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1785477873.737180,144.947,1980,3201,0.0,0.0,38.0
1785477873.747270,144.947,1980,3201,0.0,0.0,38.0
1785477873.757390,144.947,1980,3201,0.0,0.0,38.0
1785477873.767261,144.947,1980,3201,0.0,0.0,38.0
1785477873.777264,144.947,1980,3201,0.0,0.0,38.0
1785477873.787429,144.947,1980,3201,0.0,0.0,38.0
1785477873.797261,144.947,1980,3201,0.0,0.0,38.0
1785477873.807259,144.947,1980,3201,0.0,0.0,38.0
1785477873.817421,144.947,1980,3201,0.0,0.0,38.0
1785477873.827294,144.947,1980,3201,0.0,0.0,38.0
1785477873.837260,148.113,1980,3201,0.0,0.0,38.0
1785477873.847262,148.113,1980,3201,0.0,0.0,38.0
1785477873.857261,148.113,1980,3201,0.0,0.0,38.0
1785477873.867269,148.113,1980,3201,0.0,0.0,38.0
1785477873.877260,148.113,1980,3201,0.0,0.0,38.0
1785477873.887266,148.113,1980,3201,0.0,0.0,38.0
1785477873.897264,148.113,1980,3201,0.0,0.0,38.0
1785477873.907262,148.113,1980,3201,0.0,0.0,38.0
1785477873.917260,148.113,1980,3201,0.0,0.0,38.0
1785477873.927260,148.113,1980,3201,0.0,0.0,38.0
1785477873.937261,150.792,1980,3201,0.0,0.0,38.0
1785477873.947247,150.792,1980,3201,0.0,0.0,38.0
1785477873.957261,150.792,1980,3201,25.0,7.0,38.0
1785477873.967262,150.792,1980,3201,25.0,7.0,38.0
1785477873.977262,150.792,1980,3201,25.0,7.0,38.0
1785477873.987260,150.792,1980,3201,25.0,7.0,38.0
1785477873.997302,150.792,1980,3201,25.0,7.0,38.0
1785477874.007263,150.792,1980,3201,25.0,7.0,38.0
1785477874.017300,150.792,1980,3201,25.0,7.0,38.0
1785477874.027260,150.792,1980,3201,25.0,7.0,38.0
1785477874.037262,151.651,1980,3201,25.0,7.0,38.0
1785477874.047264,151.651,1980,3201,25.0,7.0,38.0
1785477874.057299,151.651,1980,3201,25.0,7.0,38.0
1785477874.067245,151.651,1980,3201,25.0,7.0,38.0
1785477874.077258,151.651,1980,3201,25.0,7.0,39.0
1785477874.087261,151.651,1980,3201,25.0,7.0,39.0
1785477874.097251,151.651,1980,3201,25.0,7.0,39.0
1785477874.107255,151.651,1980,3201,25.0,7.0,39.0
1785477874.117254,151.651,1980,3201,25.0,7.0,39.0
1785477874.127251,151.651,1980,3201,25.0,7.0,39.0
1785477874.137251,134.173,1980,3201,25.0,7.0,39.0
1785477874.147251,134.173,1980,3201,25.0,7.0,39.0
1785477874.157251,134.173,1980,3201,25.0,7.0,39.0
1785477874.167252,134.173,1980,3201,25.0,7.0,39.0
1785477874.177251,134.173,1980,3201,25.0,7.0,38.0
1785477874.187251,134.173,1980,3201,25.0,7.0,38.0
1785477874.197252,134.173,1980,3201,25.0,7.0,38.0
1785477874.207251,134.173,1980,3201,25.0,7.0,38.0
1785477874.217251,134.173,1980,3201,25.0,7.0,38.0
1785477874.227251,134.173,1980,3201,25.0,7.0,38.0
1785477874.237251,134.976,1980,3201,25.0,7.0,38.0
1785477874.247331,134.976,1980,3201,25.0,7.0,38.0
1785477874.257252,134.976,1980,3201,25.0,7.0,38.0
1785477874.267251,134.976,1980,3201,25.0,7.0,38.0
1785477874.277506,134.976,1980,3201,25.0,7.0,38.0
1785477874.287335,134.976,1980,3201,25.0,7.0,38.0
1785477874.297262,134.976,1980,3201,25.0,7.0,38.0
1785477874.307260,134.976,1980,3201,25.0,7.0,38.0
1785477874.317261,134.976,1980,3201,25.0,7.0,38.0
1785477874.327260,134.976,1980,3201,25.0,7.0,38.0
1785477874.337263,138.220,1980,3201,25.0,7.0,38.0
1785477874.347290,138.220,1980,3201,25.0,7.0,38.0
1785477874.357263,138.220,1980,3201,25.0,7.0,38.0
1785477874.367262,138.220,1980,3201,25.0,7.0,38.0
1785477874.377248,138.220,1980,3201,25.0,7.0,38.0
1785477874.387264,138.220,1980,3201,25.0,7.0,38.0
1785477874.397260,138.220,1980,3201,25.0,7.0,38.0
1785477874.407263,138.220,1980,3201,25.0,7.0,38.0
1785477874.417259,138.220,1980,3201,25.0,7.0,38.0
1785477874.427260,138.220,1980,3201,25.0,7.0,38.0
1785477874.437262,141.032,1980,3201,25.0,7.0,38.0
1785477874.447247,141.032,1980,3201,25.0,7.0,38.0
1785477874.457263,141.032,1980,3201,25.0,7.0,38.0
1785477874.467263,141.032,1980,3201,25.0,7.0,38.0
1785477874.477262,141.032,1980,3201,25.0,7.0,39.0
1785477874.487462,141.032,1980,3201,25.0,7.0,39.0
1785477874.497263,141.032,1980,3201,25.0,7.0,39.0
1785477874.507264,141.032,1980,3201,25.0,7.0,39.0
1785477874.517266,141.032,1980,3201,25.0,7.0,39.0
1785477874.527260,141.032,1980,3201,25.0,7.0,39.0
1785477874.537318,144.116,1980,3201,25.0,7.0,39.0
1785477874.547263,144.116,1980,3201,25.0,7.0,39.0
1785477874.557262,144.116,1980,3201,25.0,7.0,39.0
1785477874.567246,144.116,1980,3201,25.0,7.0,39.0
1785477874.577263,144.116,1980,3201,25.0,7.0,39.0
1785477874.587259,144.116,1980,3201,25.0,7.0,39.0
1785477874.597262,144.116,1980,3201,25.0,7.0,39.0
1785477874.607263,144.116,1980,3201,25.0,7.0,39.0
1785477874.617260,144.116,1980,3201,25.0,7.0,39.0
1785477874.627261,144.116,1980,3201,25.0,7.0,39.0
1785477874.637459,146.905,1980,3201,25.0,7.0,39.0
1785477874.647263,146.905,1980,3201,25.0,7.0,39.0
1785477874.657262,146.905,1980,3201,25.0,7.0,39.0
1785477874.667264,146.905,1980,3201,25.0,7.0,39.0
1785477874.677262,146.905,1980,3201,25.0,7.0,39.0
1785477874.687260,146.905,1980,3201,25.0,7.0,39.0
1785477874.697260,146.905,1980,3201,25.0,7.0,39.0
1785477874.707263,146.905,1980,3201,25.0,7.0,39.0
1785477874.717249,146.905,1980,3201,25.0,7.0,39.0
1785477874.727249,146.905,1980,3201,25.0,7.0,39.0
1785477874.737250,150.290,1980,3201,25.0,7.0,39.0
1785477874.747249,150.290,1980,3201,25.0,7.0,39.0
