t_rel_s,measured_w,predicted_w
0.000,289.84,140.99
0.200,308.82,289.13
0.400,308.18,289.52
0.600,306.59,268.52
0.800,303.30,290.14
1.000,297.60,290.39
1.200,275.86,269.42
1.400,275.63,291.01
1.600,276.77,291.41
1.800,279.39,291.67
2.000,280.85,270.52
2.200,282.28,292.29
2.400,283.08,292.67
2.600,284.80,271.29
2.800,285.08,293.27
3.000,287.57,293.57
3.200,290.09,272.14
3.400,290.60,294.20
3.600,291.32,294.53
3.800,294.11,294.85
4.000,295.99,295.19
4.200,296.87,273.53
4.400,298.71,295.79
4.600,298.70,296.13
4.800,297.48,296.44
5.000,294.83,296.79
5.200,293.35,274.92
5.400,289.42,297.42
5.600,288.05,275.45
5.800,287.11,298.04
6.000,288.53,298.30
6.200,290.18,298.70
6.400,293.61,276.55
6.600,292.88,252.82
6.800,294.83,161.34
7.000,305.86,285.96
7.200,300.49,286.31
7.400,294.38,286.62
7.600,290.33,286.96
7.800,285.74,287.28
8.000,268.50,266.63
8.200,267.74,287.89
8.400,268.40,288.23
8.600,268.85,288.55
8.800,268.33,267.74
9.000,269.74,289.16
9.200,270.43,289.50
9.400,271.32,268.56
9.600,270.69,290.11
9.800,272.19,290.44
10.000,273.68,290.76
10.200,274.65,269.67
10.400,274.89,291.38
10.600,276.07,291.70
10.800,275.96,292.04
11.000,274.92,270.78
11.200,275.60,292.65
11.400,276.96,292.98
11.600,277.29,293.30
11.800,277.58,293.63
12.000,278.64,272.17
12.200,278.22,294.26
12.400,279.15,294.56
12.600,279.20,294.91
12.800,279.23,273.28
13.000,278.65,295.53
13.200,278.37,295.83
13.400,277.81,162.70
13.600,279.83,260.27
13.800,278.84,280.58
14.000,276.59,260.81
14.200,273.20,281.19
14.400,270.54,261.35
14.600,265.87,281.80
14.800,266.31,282.20
15.000,268.97,262.11
15.200,273.07,282.81
15.400,274.35,283.08
15.600,275.97,262.99
15.800,278.23,283.70
16.000,280.05,284.07
16.200,280.52,284.36
16.400,282.81,264.09
16.600,284.36,284.99
16.800,283.42,285.32
17.000,281.95,264.91
17.200,280.85,285.92
17.400,279.08,286.27
17.600,278.92,286.57
17.800,280.48,266.03
18.000,281.58,287.18
18.200,283.53,287.55
18.400,285.74,287.84
18.600,287.22,267.15
18.800,287.28,288.45
19.000,287.71,288.82
19.200,285.95,267.92
19.400,285.08,289.44
19.600,283.67,289.71
19.800,283.17,268.80
20.000,282.63,268.73
20.200,277.43,180.24
20.400,275.21,223.22
20.600,280.31,285.53
20.800,278.47,285.85
21.000,276.90,286.19
21.200,282.83,265.66
21.400,283.01,286.80
21.600,278.24,287.12
21.800,280.73,287.46
22.000,280.64,266.76
22.200,280.49,288.08
22.400,282.74,288.38
22.600,281.88,288.73
22.800,280.14,289.04
23.000,282.30,289.39
23.200,283.21,289.69
23.400,283.38,290.05
23.600,285.25,269.03
23.800,287.57,290.66
24.000,285.95,290.96
24.200,285.87,291.31
24.400,286.13,291.62
24.600,287.22,291.97
24.800,286.90,270.70
25.000,287.97,292.58
25.200,289.06,292.89
25.400,288.92,293.24
25.600,288.52,293.54
25.800,289.97,272.12
26.000,292.16,294.16
26.200,293.34,294.50
26.400,293.74,294.82
26.600,294.23,273.22
26.800,294.72,292.92
27.000,299.20,221.53
27.200,299.47,262.43
27.400,296.53,283.11
27.600,295.09,283.42
27.800,293.76,283.77
28.000,287.75,263.53
28.200,287.55,284.39
28.400,291.88,284.68
28.600,294.47,285.04
28.800,295.89,285.34
29.000,296.75,285.70
29.200,296.25,265.21
29.400,296.30,286.31
29.600,295.37,286.61
29.800,294.35,286.97
30.000,292.66,287.27
30.200,290.59,266.63
30.400,287.54,287.88
30.600,285.33,288.23
30.800,282.40,288.54
31.000,281.53,267.75
31.200,281.41,289.15
31.400,282.64,289.51
31.600,283.60,289.80
31.800,285.43,290.16
32.000,285.27,269.11
32.200,285.44,290.78
32.400,285.73,291.07
32.600,285.72,291.44
32.800,286.53,270.22
33.000,287.57,292.05
33.200,288.84,292.34
33.400,290.08,292.49
33.600,288.39,139.66
33.800,302.47,285.70
34.000,300.24,286.06
34.200,296.07,286.35
34.400,292.97,286.72
34.600,292.49,287.01
34.800,275.34,287.37
35.000,273.50,266.66
35.200,274.35,288.00
35.400,273.80,288.26
35.600,274.36,267.55
35.800,274.95,288.87
36.000,275.41,289.28
36.200,279.51,289.52
36.400,282.56,268.67
36.600,281.39,290.12
36.800,280.83,290.57
37.000,281.54,290.78
37.200,278.92,291.22
37.400,276.11,269.96
37.600,275.43,291.84
37.800,275.96,292.05
38.000,277.26,292.49
38.200,278.72,292.70
38.400,280.28,271.47
38.600,280.76,293.33
38.800,280.61,293.75
39.000,280.94,293.98
39.200,280.57,294.41
39.400,282.91,272.78
39.600,286.79,295.00
39.800,289.86,295.28
40.000,292.61,295.65
40.200,294.69,205.82
40.400,322.45,227.23
40.600,329.25,270.49
40.800,326.37,292.26
