t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1785478239.169009,142.446,1980,3201,0.0,0.0,38.0
1785478239.179145,142.446,1980,3201,0.0,0.0,38.0
1785478239.189270,142.446,1980,3201,0.0,0.0,38.0
1785478239.199151,142.446,1980,3201,0.0,0.0,38.0
1785478239.209091,142.446,1980,3201,0.0,0.0,38.0
1785478239.219090,142.446,1980,3201,0.0,0.0,38.0
1785478239.229090,142.446,1980,3201,0.0,0.0,38.0
1785478239.239094,142.446,1980,3201,0.0,0.0,38.0
1785478239.249231,145.817,1980,3201,0.0,0.0,38.0
1785478239.259090,145.817,1980,3201,6.0,4.0,38.0
1785478239.269093,145.817,1980,3201,13.0,8.0,38.0
1785478239.279090,145.817,1980,3201,13.0,8.0,38.0
1785478239.289092,145.817,1980,3201,13.0,8.0,38.0
1785478239.299083,145.817,1980,3201,13.0,8.0,38.0
1785478239.309090,145.817,1980,3201,13.0,8.0,38.0
1785478239.319096,145.817,1980,3201,13.0,8.0,38.0
1785478239.329091,145.817,1980,3201,13.0,8.0,38.0
1785478239.339091,145.817,1980,3201,13.0,8.0,38.0
1785478239.349089,148.990,1980,3201,13.0,8.0,38.0
1785478239.359090,148.990,1980,3201,13.0,8.0,38.0
1785478239.369090,148.990,1980,3201,13.0,8.0,38.0
1785478239.379091,148.990,1980,3201,13.0,8.0,38.0
1785478239.389180,148.990,1980,3201,13.0,8.0,38.0
1785478239.399082,148.990,1980,3201,13.0,8.0,38.0
1785478239.409091,148.990,1980,3201,13.0,8.0,38.0
1785478239.419093,148.990,1980,3201,13.0,8.0,38.0
1785478239.429144,148.990,1980,3201,13.0,8.0,38.0
1785478239.439092,148.990,1980,3201,13.0,8.0,38.0
1785478239.449084,153.480,1980,3201,13.0,8.0,38.0
1785478239.459086,153.480,1980,3201,13.0,8.0,38.0
1785478239.469081,153.480,1980,3201,28.0,9.0,38.0
1785478239.479084,153.480,1980,3201,28.0,9.0,38.0
1785478239.489080,153.480,1980,3201,28.0,9.0,38.0
1785478239.499076,153.480,1980,3201,28.0,9.0,38.0
1785478239.509081,153.480,1980,3201,28.0,9.0,38.0
1785478239.519082,153.480,1980,3201,28.0,9.0,38.0
1785478239.529082,153.480,1980,3201,28.0,9.0,38.0
1785478239.539080,153.480,1980,3201,28.0,9.0,38.0
1785478239.549081,141.332,1980,3201,28.0,9.0,38.0
1785478239.559081,141.332,1980,3201,28.0,9.0,38.0
1785478239.569080,141.332,1980,3201,28.0,9.0,38.0
1785478239.579082,141.332,1980,3201,28.0,9.0,38.0
1785478239.589101,141.332,1980,3201,28.0,9.0,38.0
1785478239.599118,141.332,1980,3201,28.0,9.0,38.0
1785478239.609084,141.332,1980,3201,28.0,9.0,38.0
1785478239.619092,141.332,1980,3201,28.0,9.0,38.0
1785478239.629088,141.332,1980,3201,28.0,9.0,38.0
1785478239.639110,141.332,1980,3201,28.0,9.0,38.0
1785478239.649091,140.678,1980,3201,28.0,9.0,38.0
1785478239.659170,140.678,1980,3201,28.0,9.0,38.0
1785478239.669090,140.678,1980,3201,28.0,10.0,38.0
1785478239.679088,140.678,1980,3201,28.0,10.0,38.0
1785478239.689092,140.678,1980,3201,28.0,10.0,38.0
1785478239.699146,140.678,1980,3201,28.0,10.0,38.0
1785478239.709092,140.678,1980,3201,28.0,10.0,38.0
1785478239.719093,140.678,1980,3201,28.0,10.0,38.0
1785478239.729092,140.678,1980,3201,28.0,10.0,38.0
1785478239.739093,140.678,1980,3201,28.0,10.0,38.0
1785478239.749092,145.770,1980,3201,28.0,10.0,38.0
1785478239.759091,145.770,1980,3201,28.0,10.0,38.0
1785478239.769091,145.770,1980,3201,28.0,10.0,38.0
1785478239.779130,145.770,1980,3201,28.0,10.0,38.0
1785478239.789093,145.770,1980,3201,28.0,10.0,38.0
1785478239.799168,145.770,1980,3201,28.0,10.0,38.0
1785478239.809121,145.770,1980,3201,28.0,10.0,38.0
1785478239.819094,145.770,1980,3201,28.0,10.0,38.0
1785478239.829082,145.770,1980,3201,28.0,10.0,38.0
1785478239.839144,145.770,1980,3201,28.0,10.0,38.0
1785478239.849148,150.373,1980,3201,28.0,10.0,38.0
1785478239.859092,150.373,1980,3201,28.0,10.0,38.0
