t_rel_s,measured_w,predicted_w
0.000,167.75,292.40
0.200,166.14,292.49
0.400,169.68,177.46
0.600,183.87,265.46
0.800,196.07,236.52
1.000,205.94,266.06
1.200,220.11,324.91
1.400,235.17,207.84
1.600,236.11,296.86
1.800,240.23,267.77
2.000,248.23,327.32
2.200,257.38,328.95
2.400,264.01,359.28
2.600,271.26,299.86
2.800,279.75,330.79
3.000,288.03,331.88
3.200,290.18,273.68
3.400,301.57,336.58
3.600,305.99,307.28
3.800,316.06,247.27
4.000,323.50,280.74
4.200,330.74,378.45
4.400,328.19,347.02
4.600,334.68,380.29
4.800,330.72,250.59
5.000,327.32,382.44
5.200,329.20,285.19
5.400,333.09,318.89
5.600,336.20,286.43
5.800,339.77,354.07
6.000,345.82,355.37
6.200,347.93,323.29
6.400,348.57,257.94
6.600,360.76,365.94
6.800,359.71,225.83
7.000,358.97,403.70
7.200,360.65,368.45
7.400,362.55,369.11
7.600,350.76,225.08
7.800,353.40,365.17
8.000,356.34,328.90
8.200,353.97,364.32
8.400,354.76,328.85
8.600,355.34,328.34
8.800,352.44,328.77
9.000,354.91,399.13
9.200,356.39,329.56
9.400,354.91,295.90
9.600,356.80,296.17
9.800,360.37,226.40
10.000,366.41,336.24
10.200,366.54,261.83
10.400,367.05,369.39
10.600,366.22,331.80
10.800,363.86,396.95
11.000,357.84,327.23
11.200,360.21,362.54
11.400,361.08,328.70
11.600,359.78,399.62
11.800,358.44,329.45
12.000,357.53,329.53
12.200,355.06,294.66
12.400,352.43,363.48
12.600,352.86,328.42
12.800,354.32,363.49
13.000,352.34,327.49
13.200,348.84,394.58
13.400,349.30,320.77
13.600,354.32,289.51
13.800,356.88,356.42
14.000,357.08,391.55
14.200,360.74,391.40
14.400,361.98,322.76
14.600,355.97,388.59
14.800,350.91,322.67
15.000,350.00,288.46
15.200,352.00,288.79
15.400,350.79,356.72
15.600,347.89,288.11
15.800,350.03,323.95
16.000,356.58,290.73
16.200,352.22,290.98
16.400,358.87,291.76
16.600,361.04,390.57
16.800,356.85,285.95
17.000,350.49,318.63
17.200,349.49,284.94
17.400,344.84,253.08
17.600,372.22,329.40
17.800,374.02,399.95
18.000,375.06,224.88
18.200,374.87,470.65
18.400,372.54,295.57
18.600,347.00,331.92
18.800,348.23,401.50
19.000,349.06,330.74
19.200,353.73,225.64
19.400,355.78,261.42
19.600,357.29,333.24
19.800,358.45,404.88
20.000,360.66,333.90
20.200,373.04,306.17
20.400,387.45,342.81
20.600,385.61,377.75
20.800,384.39,304.62
21.000,383.37,342.90
21.200,374.71,419.02
21.400,356.50,307.09
21.600,356.87,383.18
21.800,358.12,308.06
22.000,363.63,308.10
22.200,363.92,307.57
22.400,365.52,346.56
22.600,380.58,275.18
22.800,391.35,350.97
23.000,391.75,313.08
23.200,395.86,197.16
23.400,395.37,425.42
23.600,385.91,348.72
23.800,375.27,311.66
24.000,371.83,387.83
24.200,367.82,349.40
24.400,366.07,343.76
24.600,366.26,266.32
24.800,390.46,273.67
25.000,392.64,312.52
25.200,395.12,351.50
25.400,396.81,390.12
25.600,398.51,312.30
25.800,371.87,313.10
26.000,370.01,313.84
26.200,368.81,274.14
26.400,369.87,312.52
26.600,368.32,387.95
26.800,365.05,351.09
27.000,370.57,276.99
27.200,369.90,384.57
27.400,366.51,383.43
27.600,367.07,346.52
27.800,368.32,347.29
28.000,361.95,385.91
28.200,361.32,425.29
28.400,361.81,387.83
28.600,360.89,426.07
28.800,359.83,310.77
29.000,357.34,385.94
29.200,359.95,385.15
29.400,359.06,418.52
29.600,361.41,302.47
29.800,361.01,266.06
30.000,370.09,339.92
30.200,368.50,374.58
30.400,370.25,266.49
30.600,371.52,412.54
30.800,374.29,338.84
31.000,368.31,376.38
31.200,368.29,339.67
31.400,368.28,376.53
31.600,370.72,294.44
31.800,373.07,326.29
32.000,372.32,326.15
32.200,371.92,292.48
32.400,370.28,292.53
32.600,365.64,361.16
32.800,360.99,325.95
33.000,360.47,289.92
33.200,357.31,388.58
33.400,354.01,321.24
33.600,352.88,355.20
33.800,351.53,351.60
34.000,348.72,317.53
34.200,352.12,351.57
34.400,354.67,285.76
34.600,355.76,352.39
34.800,355.70,352.49
35.000,357.44,320.26
35.200,355.78,254.89
35.400,359.24,256.21
35.600,364.03,325.53
35.800,368.28,324.99
36.000,370.30,290.37
36.200,372.67,394.51
36.400,371.98,360.98
36.600,368.66,292.01
36.800,368.74,221.31
37.000,368.42,289.16
37.200,368.63,288.25
37.400,367.26,355.14
37.600,368.74,323.50
37.800,370.38,324.95
38.000,368.49,360.48
38.200,365.96,360.38
38.400,366.30,291.45
38.600,370.97,258.19
38.800,383.63,331.51
39.000,385.25,401.83
39.200,386.50,330.60
39.400,387.03,364.98
39.600,384.29,295.39
39.800,369.97,399.49
40.000,368.13,329.86
40.200,367.95,331.06
40.400,370.03,297.53
40.600,401.17,197.20
40.800,420.43,352.88
41.000,426.05,314.26
41.200,427.98,391.58
41.400,428.61,430.66
41.600,396.48,353.05
41.800,377.96,356.53
42.000,374.37,279.88
42.200,379.51,410.79
42.400,381.70,366.64
42.600,380.66,408.30
42.800,376.63,366.83
43.000,376.22,283.47
43.200,375.90,451.46
43.400,375.57,327.96
43.600,381.48,285.98
43.800,387.93,409.54
44.000,387.85,447.67
44.200,377.97,405.05
44.400,376.41,405.99
44.600,369.48,443.93
44.800,361.28,322.64
45.000,360.38,405.50
45.200,362.05,446.82
45.400,358.60,444.80
45.600,357.07,395.27
45.800,356.72,434.92
46.000,352.87,435.35
46.200,350.26,396.68
46.400,349.78,435.27
46.600,348.46,434.25
46.800,348.42,395.89
47.000,349.87,434.70
47.200,350.07,431.47
47.400,346.91,403.67
47.600,344.02,365.61
47.800,340.34,399.13
48.000,334.96,398.48
48.200,331.29,399.20
48.400,327.77,396.97
48.600,326.12,360.32
48.800,322.80,375.61
49.000,319.96,372.28
49.200,314.63,371.12
49.400,308.71,370.40
49.600,302.63,367.62
49.800,294.70,362.74
50.000,282.82,362.13
50.200,272.37,356.60
50.400,257.19,324.92
50.600,236.50,354.33
50.800,218.80,353.90
51.000,204.91,353.14
51.200,191.72,353.23
51.365,184.26,340.52
