t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784037065.256272,1784037065.256272,mixed,8,0,624,0.0003,4096,8,
1784037065.256272,1784037065.301170,decode,8,0,752,0.0004,0,8,
1784037065.301170,1784037065.307564,decode,8,0,752,0.0004,0,8,
1784037065.307564,1784037065.314071,decode,8,0,752,0.0004,0,8,
1784037065.314071,1784037065.320004,decode,8,0,752,0.0004,0,8,
1784037065.320004,1784037065.326221,decode,8,0,752,0.0004,0,8,
1784037065.326221,1784037065.332362,decode,8,0,752,0.0004,0,8,
1784037065.332362,1784037065.338560,decode,8,0,752,0.0004,0,8,
1784037065.338560,1784037065.344820,decode,8,0,752,0.0004,0,8,
1784037065.344820,1784037065.351003,decode,8,0,752,0.0004,0,8,
1784037065.351003,1784037065.357519,decode,8,0,752,0.0004,0,8,
1784037065.357519,1784037065.363220,decode,8,0,752,0.0004,0,8,
1784037065.363220,1784037065.369791,decode,8,0,752,0.0004,0,8,
1784037065.369791,1784037065.375482,decode,8,0,752,0.0004,0,8,
1784037065.375482,1784037065.381633,decode,8,0,752,0.0004,0,8,
1784037065.381633,1784037065.387846,decode,8,0,752,0.0004,0,8,
1784037065.387846,1784037065.394220,decode,8,0,752,0.0004,0,8,
1784037065.394220,1784037065.400425,decode,8,0,880,0.0004,0,8,
1784037065.400425,1784037065.406349,decode,8,0,880,0.0004,0,8,
1784037065.406349,1784037065.412503,decode,8,0,880,0.0004,0,8,
1784037065.412503,1784037065.418611,decode,8,0,880,0.0004,0,8,
1784037065.418611,1784037065.424703,decode,8,0,880,0.0004,0,8,
1784037065.424703,1784037065.430861,decode,8,0,880,0.0004,0,8,
1784037065.430861,1784037065.437042,decode,8,0,880,0.0004,0,8,
1784037065.437042,1784037065.443013,decode,8,0,880,0.0004,0,8,
1784037065.443013,1784037065.449296,decode,8,0,880,0.0004,0,8,
1784037065.449296,1784037065.455463,decode,8,0,880,0.0004,0,8,
1784037065.455463,1784037065.461489,decode,8,0,880,0.0004,0,8,
1784037065.461489,1784037065.467642,decode,8,0,880,0.0004,0,8,
1784037065.467642,1784037065.474085,decode,8,0,880,0.0004,0,8,
1784037065.474085,1784037065.479976,decode,8,0,880,0.0004,0,8,
1784037065.479976,1784037065.486520,decode,8,0,880,0.0004,0,8,
1784037065.486520,1784037065.492445,decode,8,0,880,0.0004,0,8,
1784037065.492445,1784037065.498500,decode,8,0,1008,0.0005,0,8,
1784037065.498500,1784037065.504694,decode,8,0,1008,0.0005,0,8,
1784037065.504694,1784037065.510874,decode,8,0,1008,0.0005,0,8,
1784037065.510874,1784037065.517100,decode,8,0,1008,0.0005,0,8,
1784037065.517100,1784037065.523173,decode,8,0,1008,0.0005,0,8,
1784037065.523173,1784037065.529327,decode,8,0,1008,0.0005,0,8,
1784037065.529327,1784037065.535493,decode,8,0,1008,0.0005,0,8,
1784037065.535493,1784037065.541691,decode,8,0,1008,0.0005,0,8,
1784037065.541691,1784037065.547858,decode,8,0,1008,0.0005,0,8,
1784037065.547858,1784037065.554095,decode,8,0,1008,0.0005,0,8,
1784037065.554095,1784037065.560260,decode,8,0,1008,0.0005,0,8,
1784037065.560260,1784037065.566759,decode,8,0,1008,0.0005,0,8,
1784037065.566759,1784037065.572515,decode,8,0,1008,0.0005,0,8,
1784037065.572515,1784037065.578786,decode,8,0,1008,0.0005,0,8,
1784037065.578786,1784037065.585207,decode,8,0,1008,0.0005,0,8,
1784037065.585207,1784037065.591229,decode,8,0,1008,0.0005,0,8,
1784037065.591229,1784037065.597524,decode,8,0,1136,0.0005,0,8,
1784037065.597524,1784037065.603807,decode,8,0,1136,0.0005,0,8,
1784037065.603807,1784037065.609984,decode,8,0,1136,0.0005,0,8,
1784037065.609984,1784037065.616257,decode,8,0,1136,0.0005,0,8,
1784037065.616257,1784037065.622428,decode,8,0,1136,0.0005,0,8,
1784037065.622428,1784037065.628678,decode,8,0,1136,0.0005,0,8,
1784037065.628678,1784037065.634888,decode,8,0,1136,0.0005,0,8,
1784037065.634888,1784037065.641150,decode,8,0,1136,0.0005,0,8,
1784037065.641150,1784037065.647406,decode,8,0,1136,0.0005,0,8,
1784037065.647406,1784037065.653639,decode,8,0,1136,0.0005,0,8,
1784037065.653639,1784037065.659889,decode,8,0,1136,0.0005,0,8,
1784037065.659889,1784037065.666202,decode,8,0,1136,0.0005,0,8,
1784037065.666202,1784037065.672418,decode,8,0,1136,0.0005,0,8,
1784037065.672418,1784037065.678745,decode,8,0,1136,0.0005,0,8,
1784037065.678745,1784037065.685237,decode,0,0,0,0.0000,0,8,
1784037065.685237,1784037065.685589,idle,0,0,0,0.0000,,,
1784037065.685589,1784037065.701207,mixed,1,0,512,0.0002,512,1,
1784037065.701207,1784037065.721995,mixed,8,0,640,0.0003,3584,8,
1784037065.721995,1784037065.728165,decode,8,0,752,0.0004,0,8,
1784037065.728165,1784037065.734316,decode,8,0,752,0.0004,0,8,
1784037065.734316,1784037065.740837,decode,8,0,752,0.0004,0,8,
1784037065.740837,1784037065.746723,decode,8,0,752,0.0004,0,8,
1784037065.746723,1784037065.752957,decode,8,0,752,0.0004,0,8,
1784037065.752957,1784037065.759269,decode,8,0,752,0.0004,0,8,
1784037065.759269,1784037065.765567,decode,8,0,752,0.0004,0,8,
1784037065.765567,1784037065.771624,decode,8,0,752,0.0004,0,8,
1784037065.771624,1784037065.777881,decode,8,0,752,0.0004,0,8,
1784037065.777881,1784037065.784097,decode,8,0,752,0.0004,0,8,
1784037065.784097,1784037065.790241,decode,8,0,752,0.0004,0,8,
1784037065.790241,1784037065.796679,decode,8,0,752,0.0004,0,8,
1784037065.796679,1784037065.802719,decode,8,0,752,0.0004,0,8,
1784037065.802719,1784037065.809378,decode,8,0,752,0.0004,0,8,
1784037065.809378,1784037065.815242,decode,8,0,752,0.0004,0,8,
1784037065.815242,1784037065.821575,decode,8,0,768,0.0004,0,8,
1784037065.821575,1784037065.827832,decode,8,0,880,0.0004,0,8,
1784037065.827832,1784037065.834122,decode,8,0,880,0.0004,0,8,
1784037065.834122,1784037065.840510,decode,8,0,880,0.0004,0,8,
1784037065.840510,1784037065.846673,decode,8,0,880,0.0004,0,8,
1784037065.846673,1784037065.852999,decode,8,0,880,0.0004,0,8,
1784037065.852999,1784037065.859179,decode,8,0,880,0.0004,0,8,
1784037065.859179,1784037065.865637,decode,8,0,880,0.0004,0,8,
1784037065.865637,1784037065.871746,decode,8,0,880,0.0004,0,8,
1784037065.871746,1784037065.878154,decode,8,0,880,0.0004,0,8,
1784037065.878154,1784037065.884305,decode,8,0,880,0.0004,0,8,
1784037065.884305,1784037065.890554,decode,8,0,880,0.0004,0,8,
1784037065.890554,1784037065.897373,decode,8,0,880,0.0004,0,8,
1784037065.897373,1784037065.903181,decode,8,0,880,0.0004,0,8,
1784037065.903181,1784037065.909708,decode,8,0,880,0.0004,0,8,
1784037065.909708,1784037065.915792,decode,8,0,880,0.0004,0,8,
1784037065.915792,1784037065.922194,decode,8,0,896,0.0004,0,8,
1784037065.922194,1784037065.928229,decode,8,0,1008,0.0005,0,8,
1784037065.928229,1784037065.935025,decode,8,0,1008,0.0005,0,8,
1784037065.935025,1784037065.940903,decode,8,0,1008,0.0005,0,8,
1784037065.940903,1784037065.947159,decode,8,0,1008,0.0005,0,8,
1784037065.947159,1784037065.953474,decode,8,0,1008,0.0005,0,8,
1784037065.953474,1784037065.959594,decode,8,0,1008,0.0005,0,8,
1784037065.959594,1784037065.966041,decode,8,0,1008,0.0005,0,8,
1784037065.966041,1784037065.972161,decode,8,0,1008,0.0005,0,8,
