t_rel_s,measured_w,predicted_w
0.000,231.16,336.33
0.200,278.64,386.95
0.400,326.46,361.53
0.600,362.49,395.35
0.800,367.37,369.94
1.000,370.92,395.35
1.200,374.24,361.54
1.400,376.00,395.34
1.600,376.88,369.95
1.800,376.50,386.93
2.000,374.88,361.56
2.200,373.02,386.91
2.400,370.84,361.57
2.600,371.21,395.30
2.800,371.00,369.98
3.000,373.92,386.89
3.200,375.23,369.99
3.400,376.20,395.29
3.600,375.25,361.59
3.800,375.57,386.88
4.000,373.77,370.01
4.200,373.45,386.87
4.400,373.66,370.02
4.600,374.53,386.86
4.800,374.51,370.03
5.000,374.85,395.25
5.200,374.26,370.03
5.400,375.51,386.85
5.600,374.86,370.04
5.800,375.90,386.84
6.000,375.32,370.05
6.200,376.53,378.43
6.400,375.22,370.06
6.600,375.78,395.22
6.800,374.77,361.67
7.000,376.68,386.81
7.200,372.37,294.55
7.400,347.44,252.30
7.600,337.82,386.86
7.800,336.77,370.03
8.000,335.97,395.25
8.200,338.32,370.03
8.400,360.03,386.85
8.600,376.22,370.04
8.800,378.34,386.84
9.000,377.17,370.05
9.200,376.58,386.83
9.400,375.78,370.06
9.600,375.33,386.82
9.800,374.54,378.46
10.000,376.05,386.82
10.200,375.00,370.06
10.400,376.00,386.82
10.600,376.37,370.07
10.800,378.28,395.21
11.000,377.32,370.07
11.200,378.23,386.81
11.400,378.33,361.69
11.600,378.39,386.79
11.800,376.43,370.10
12.000,376.17,386.78
12.200,375.30,328.13
12.400,356.71,118.00
12.600,306.14,118.00
12.800,256.50,118.00
13.000,206.31,118.00
13.200,156.63,118.00
13.400,120.85,118.00
13.600,119.03,118.00
13.800,118.87,118.00
14.000,118.78,118.00
14.200,118.70,118.00
14.400,118.67,118.00
14.600,118.61,118.00
14.800,118.57,118.00
15.000,118.52,118.00
15.200,118.50,118.00
15.400,118.51,118.00
15.600,118.48,118.00
15.800,118.48,118.00
16.000,118.46,118.00
16.200,118.45,118.00
16.400,118.45,118.00
16.600,118.44,118.00
16.800,118.39,118.00
17.000,118.38,118.00
17.200,118.35,118.00
17.400,118.30,118.00
17.600,118.24,118.00
17.800,118.23,118.00
18.000,118.23,118.00
18.200,118.20,118.00
18.400,118.18,118.00
18.600,118.19,118.00
18.800,118.21,118.00
19.000,118.23,118.00
19.200,118.21,118.00
19.400,118.23,118.00
19.600,118.23,118.00
19.800,118.20,118.00
20.000,118.14,118.00
20.200,118.13,118.00
20.400,134.75,378.66
20.600,185.59,379.18
20.800,237.14,361.80
21.000,288.40,379.14
21.200,340.49,361.84
21.400,379.80,387.51
21.600,382.38,370.28
21.800,385.79,379.07
22.000,387.33,361.91
22.200,388.56,387.44
22.400,386.55,361.94
22.600,386.80,387.41
22.800,384.13,353.56
23.000,385.97,395.79
23.200,385.45,362.02
23.400,386.70,387.34
23.600,385.42,362.06
23.800,388.77,387.31
24.000,387.10,362.10
24.200,387.98,387.27
24.400,386.78,353.73
24.600,386.46,387.22
24.800,384.15,362.18
25.000,386.47,387.18
25.200,385.78,362.22
25.400,387.47,387.15
25.600,387.54,362.25
25.800,389.35,387.11
26.000,387.00,362.29
26.200,388.11,387.08
26.400,387.96,379.13
26.600,389.22,370.25
26.800,388.98,387.59
27.000,389.41,361.80
27.200,388.56,387.57
27.400,389.10,361.82
27.600,388.17,379.10
27.800,387.03,361.87
28.000,386.26,387.48
28.200,385.83,353.49
28.400,384.49,387.43
28.600,384.40,361.96
28.800,386.29,387.39
29.000,386.77,361.99
29.200,388.71,387.36
29.400,388.28,353.64
29.600,389.80,387.31
29.800,388.44,353.69
30.000,388.72,378.83
30.200,385.53,362.17
30.400,387.08,387.20
30.600,385.94,370.61
30.800,387.50,387.18
31.000,387.24,353.81
31.200,390.22,387.13
31.400,389.16,362.27
31.600,388.87,387.10
31.800,386.92,370.71
32.000,386.98,370.25
32.200,385.03,379.17
32.400,372.26,134.79
32.600,323.38,118.00
32.800,272.40,118.00
33.000,219.92,118.00
33.200,168.09,118.00
33.400,125.52,118.00
33.600,119.61,118.00
33.800,119.46,118.00
34.000,119.37,118.00
34.200,119.29,118.00
34.400,119.24,118.00
34.600,119.19,118.00
34.800,119.14,118.00
35.000,119.06,118.00
35.200,119.03,118.00
35.400,118.99,118.00
35.600,118.96,118.00
35.800,118.93,118.00
36.000,118.89,118.00
36.200,118.88,118.00
36.400,118.86,118.00
36.600,118.84,118.00
36.800,118.83,118.00
37.000,118.84,118.00
37.200,118.78,118.00
37.400,118.75,118.00
37.600,118.71,118.00
37.800,118.64,118.00
