t,energy_mj,p_inst_w,p_avg_w,sm_mhz,mem_mhz,temp_c,reasons,on
1790294559.5749736,27262843770.0,90.452,88.375,1935,7601,44,0,0
1790294559.584978,27262843770.0,90.452,88.375,1935,7601,44,0,0
1790294559.5949697,27262843770.0,90.05,85.799,1935,7601,44,0,0
1790294559.604978,27262843770.0,90.05,85.799,1935,7601,44,0,0
1790294559.6149693,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6249795,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6349716,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6449802,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6549726,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6649795,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.674972,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6849797,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.6949706,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.7049792,27262845394.0,90.05,85.799,1935,7601,44,0,0
1790294559.7149756,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.7249794,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.734972,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.7449777,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.75497,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.76498,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.7749712,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.7849782,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.7949717,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.8049803,27262845653.0,90.05,85.799,1935,7601,44,0,0
1790294559.8149724,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8249812,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.834973,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8449805,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8549721,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8649783,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8749726,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.88498,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.8949733,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.9049776,27262845911.0,90.05,85.799,1935,7601,44,0,0
1790294559.914972,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9249773,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9349725,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9449785,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.954971,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9649792,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.974972,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9849787,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294559.9949694,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294560.0049777,27262846167.0,90.05,85.799,1935,7601,44,0,0
1790294560.014972,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.02498,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0349724,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0449784,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0549715,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0649738,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0749724,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0849795,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.0949712,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.1049798,27262846422.0,90.05,85.799,1935,7601,44,0,0
1790294560.1149738,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1249797,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1349711,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1449795,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.154972,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1649797,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1749725,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1849802,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.1949706,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.2049782,27262846670.0,90.05,85.799,1935,7601,44,0,0
1790294560.2149713,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2249806,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.234977,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.244981,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2549717,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2649806,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2749722,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2849782,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.2949736,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.30498,27262846917.0,90.05,85.799,1935,7601,44,0,0
1790294560.314972,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3249805,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3349693,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3449795,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.354972,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3649795,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3749712,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.3849795,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.394974,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.4049804,27262847163.0,90.05,85.799,1935,7601,44,0,0
1790294560.4149735,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4249802,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.434971,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4449787,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4549692,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.464967,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4749658,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4849672,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.4949794,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.5049736,27262847404.0,90.05,85.799,1935,7601,44,0,0
1790294560.514978,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.5249722,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.534981,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.5449727,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.554979,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.5649717,27262847646.0,90.05,85.799,1935,7601,44,0,0
1790294560.5749688,27262847646.0,90.05,85.799,1935,7601,44,4,1
1790294560.5852475,27262847646.0,90.05,85.799,1935,7601,46,4,1
1790294560.5984457,27262847646.0,89.73400000000001,89.762,1935,7601,46,4,1
1790294560.6085167,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.6203609,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.630402,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.6404305,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.6504314,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.6604025,27262850829.0,89.73400000000001,89.762,1935,7601,45,4,1
1790294560.674118,27262850829.0,89.73400000000001,89.762,1935,7601,44,4,1
1790294560.68419,27262850829.0,89.73400000000001,89.762,210,7601,44,4,1
1790294560.6941826,27262850829.0,89.73400000000001,89.762,210,7601,44,4,1
1790294560.7041886,27262850829.0,138.724,94.187,210,7601,44,4,1
1790294560.7159047,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7259653,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7359753,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7459693,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7583535,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7684135,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7784176,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.7884145,27262853606.0,138.724,94.187,210,7601,44,4,1
1790294560.8056974,27262853606.0,112.403,95.706,210,7601,44,4,1
1790294560.815772,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.825758,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.8357677,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.8457625,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.8586128,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.868681,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.878676,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.8886728,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.9040627,27262856093.0,112.403,95.706,210,7601,44,4,1
1790294560.9141326,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.924125,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9341347,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.946215,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9562862,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9662757,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9762862,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9862792,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294560.9988039,27262858889.0,116.384,98.572,210,7601,44,4,1
1790294561.0088713,27262861935.0,116.384,98.572,210,7601,44,4,1
1790294561.0188653,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0288744,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0436144,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.053674,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0636866,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0736783,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0872116,27262861935.0,118.256,99.883,210,7601,44,4,1
1790294561.0972836,27262861935.0,118.256,99.883,210,7601,44,4,0
1790294561.1072752,27262861935.0,118.256,99.883,210,7601,44,4,0
1790294561.1172829,27262864875.0,118.256,99.883,210,7601,44,4,0
1790294561.1272762,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1372821,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1472752,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1572833,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1672754,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1772792,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1872723,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.1972852,27262864875.0,103.456,100.107,210,7601,43,4,0
1790294561.207277,27262864875.0,103.456,100.107,1695,7601,43,4,0
1790294561.217283,27262865784.0,103.456,100.107,1695,7601,43,0,0
1790294561.2317953,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.2418675,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.2518563,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.2618654,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.271858,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.2818658,27262865784.0,60.144,97.756,1695,7601,43,4,0
1790294561.2918591,27262865784.0,60.144,97.756,1695,7601,43,0,0
1790294561.3094866,27262869529.0,60.144,97.756,1695,7601,43,0,0
1790294561.3268158,27262869529.0,60.144,97.756,1695,7601,43,0,0
1790294561.3460228,27262869529.0,60.144,97.756,1695,7601,43,0,0
1790294561.3650174,27262869529.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.3830004,27262869529.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.39788,27262869529.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.4121659,27262871874.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.4296134,27262871874.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.446385,27262871874.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.4651823,27262871874.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.4830487,27262871874.0,70.353,96.23400000000001,1695,7601,43,0,0
1790294561.4980545,27262871874.0,74.18900000000001,95.07300000000001,1695,7601,43,0,0
1790294561.5125096,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,43,0,0
1790294561.5225706,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,43,0,0
1790294561.5325851,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,43,0,0
1790294561.542575,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,43,0,0
1790294561.5525813,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,44,0,0
1790294561.5625727,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,44,0,0
1790294561.5725796,27262874083.0,74.18900000000001,95.07300000000001,1695,7601,44,0,0
1790294561.5825727,27262874083.0,74.18900000000001,95.07300000000001,1935,7601,44,0,0
1790294561.5925796,27262874083.0,74.18900000000001,95.07300000000001,1935,7601,44,4,1
1790294561.60413,27262874083.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.6161335,27262877421.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.626207,27262877421.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.6379468,27262877421.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.6480067,27262877421.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.658016,27262877421.0,74.47200000000001,94.044,1935,7601,45,4,1
1790294561.668011,27262877421.0,74.47200000000001,94.044,1935,7601,44,4,1
1790294561.6780186,27262877421.0,74.47200000000001,94.044,1935,7601,44,4,1
1790294561.6880076,27262877421.0,74.47200000000001,94.044,1005,7601,44,4,1
1790294561.698185,27262877421.0,74.47200000000001,94.044,1005,7601,45,4,1
1790294561.708254,27262879985.0,121.054,100.417,1005,7601,45,4,1
1790294561.71825,27262879985.0,121.054,100.417,1005,7601,45,4,1
1790294561.7282567,27262879985.0,121.054,100.417,1005,7601,44,4,1
