gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
H200,Meta-Llama-3-8B,alpaca,1,,2350447251130.6465,0.489676510652218,1.0547387960487707e-10,155.25583671566815,366.3016008791209,118.378,467844968558.95197,logs/ragged/Meta-Llama-3-8B/alpaca_c1
H200,Meta-Llama-3-8B,alpaca,16,,2248532368971.471,0.46844424353572317,1.2558273742510812e-10,2283.5999412755336,400.7629087583387,118.378,439888443888.8889,logs/ragged/Meta-Llama-3-8B/alpaca_c16
H200,Meta-Llama-3-8B,alpaca,4,,2301787200747.5137,0.47953900015573203,1.1012074409621419e-10,597.3061862950623,371.8690045454545,118.378,457590063793.10345,logs/ragged/Meta-Llama-3-8B/alpaca_c4
H200,Meta-Llama-3-8B,alpaca,64,,2072734495365.5103,0.43181968653448133,1.8803908840919875e-10,7977.153877018187,508.12272562406656,118.378,384877179574.4681,logs/ragged/Meta-Llama-3-8B/alpaca_c64
H200,Meta-Llama-3-8B,alpaca,,8.0,2276104379251.522,0.47418841234406706,1.1461113219105281e-10,1077.0984583581603,379.2474828880548,118.378,449621192280.7018,logs/ragged/Meta-Llama-3-8B/alpaca_poisson8
H200,Meta-Llama-3-8B,sharegpt,1,,2323874185773.3145,0.4841404553694405,1.0730811568720302e-10,153.6766394802676,367.7765861916353,118.378,463106829074.8899,logs/ragged/Meta-Llama-3-8B/sharegpt_c1
H200,Meta-Llama-3-8B,sharegpt,16,,2156479357756.043,0.4492665328658423,1.3788851687179237e-10,2157.2841937573357,415.76284114359413,118.378,415321917948.71796,logs/ragged/Meta-Llama-3-8B/sharegpt_c16
H200,Meta-Llama-3-8B,sharegpt,4,,2293222357154.433,0.4777546577405069,1.1304495640385055e-10,596.7008219478413,377.597348071088,118.378,453708343534.4828,logs/ragged/Meta-Llama-3-8B/sharegpt_c4
H200,Meta-Llama-3-8B,sharegpt,64,,1923248741113.3938,0.4006768210652904,2.1715494497259e-10,7010.043051550945,536.2171375989728,118.378,339274427574.4681,logs/ragged/Meta-Llama-3-8B/sharegpt_c64
H200,Meta-Llama-3-8B,sharegpt,,8.0,2237713451085.8115,0.46619030230954406,1.2576891659200457e-10,1349.730327156599,399.85815128039593,118.378,436424749358.97437,logs/ragged/Meta-Llama-3-8B/sharegpt_poisson8
H200,Mistral-7B-v0.1,alpaca,1,,2280211431044.042,0.4750440481341754,1.0249473739926603e-10,159.49593065592688,352.090481875407,118.37400000000001,453471491336.2069,logs/ragged/Mistral-7B-v0.1/alpaca_c1
H200,Mistral-7B-v0.1,alpaca,16,,2225766426852.5728,0.46370133892761933,1.2153938680991582e-10,2400.3313559189596,388.8938159257661,118.37400000000001,433581420171.6738,logs/ragged/Mistral-7B-v0.1/alpaca_c16
H200,Mistral-7B-v0.1,alpaca,4,,2251336391234.9653,0.4690284148406178,1.0633678057337885e-10,620.0878560449187,357.7877609304329,118.37400000000001,447191882832.61804,logs/ragged/Mistral-7B-v0.1/alpaca_c4
H200,Mistral-7B-v0.1,alpaca,64,,2052145370464.07,0.42753028551334793,1.85096342372347e-10,8283.554263843167,498.21017737459977,118.37400000000001,373310830000.0,logs/ragged/Mistral-7B-v0.1/alpaca_c64
H200,Mistral-7B-v0.1,alpaca,,8.0,2252128748945.8037,0.4691934893637091,1.1861476876761425e-10,1877.7950305532554,385.50148062849763,118.37400000000001,442370238197.42487,logs/ragged/Mistral-7B-v0.1/alpaca_poisson8
H200,Mistral-7B-v0.1,sharegpt,1,,2275740247416.736,0.4741125515451533,1.0425587326188424e-10,158.92216485561124,355.64172135815994,118.37400000000001,453636910917.0306,logs/ragged/Mistral-7B-v0.1/sharegpt_c1
H200,Mistral-7B-v0.1,sharegpt,16,,2139573185107.5774,0.4457444135640786,1.3337264460195913e-10,2254.5622827639318,403.69519277885234,118.37400000000001,408634919658.1196,logs/ragged/Mistral-7B-v0.1/sharegpt_c16
H200,Mistral-7B-v0.1,sharegpt,4,,2241165918088.1343,0.46690956626836133,1.0907678096281074e-10,611.7065006444251,362.7587031519862,118.37400000000001,442126107339.0558,logs/ragged/Mistral-7B-v0.1/sharegpt_c4
H200,Mistral-7B-v0.1,sharegpt,64,,1885271477713.2505,0.39276489119026053,2.145683173341117e-10,6995.256945573193,522.9029993606139,118.37400000000001,319574384893.617,logs/ragged/Mistral-7B-v0.1/sharegpt_c64
H200,Mistral-7B-v0.1,sharegpt,,8.0,2167219958651.0442,0.4515041580523009,1.2870103947819158e-10,1823.5477935003512,397.3044653614458,118.37400000000001,416413816666.6667,logs/ragged/Mistral-7B-v0.1/sharegpt_poisson8
H200,Qwen2-7B-Instruct,alpaca,1,,2368824846130.9395,0.4935051762772791,1.0718071239313325e-10,166.41313935729266,371.09727575315844,117.191,472786936038.64734,logs/ragged/Qwen2-7B-Instruct/alpaca_c1
H200,Qwen2-7B-Instruct,alpaca,16,,2263690101635.999,0.4716021045074998,1.252541072093164e-10,2481.749940511323,400.724710770559,117.191,447461095708.1545,logs/ragged/Qwen2-7B-Instruct/alpaca_c16
H200,Qwen2-7B-Instruct,alpaca,4,,2339273265925.6924,0.4873485970678526,1.1041740358693171e-10,652.6297769118625,375.49320034881185,117.191,464924877662.33765,logs/ragged/Qwen2-7B-Instruct/alpaca_c4
H200,Qwen2-7B-Instruct,alpaca,64,,2020184177804.4744,0.42087170370926547,1.8499137929600943e-10,8572.699110091795,490.91955343756695,117.191,389470018803.4188,logs/ragged/Qwen2-7B-Instruct/alpaca_c64
H200,Qwen2-7B-Instruct,alpaca,,8.0,2324729169838.166,0.4843185770496179,1.1504299314359512e-10,1169.8839788102373,384.652262867241,117.191,461243138201.7544,logs/ragged/Qwen2-7B-Instruct/alpaca_poisson8
H200,Qwen2-7B-Instruct,sharegpt,1,,2369614945235.024,0.49366978025729663,1.0805655751516046e-10,166.69887679394333,373.2449160504567,117.191,472637886147.18616,logs/ragged/Qwen2-7B-Instruct/sharegpt_c1
